entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CANJEDECUPONES","Codigo","CanjeCupones","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"CANJEDECUPONES","TipoComprobante","CanjeCupones","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=32",F,""
"CANJEDECUPONES","SignodeMovimiento","CanjeCupones","Signo",F,"N",2,0,"NUMERICO",F,"",F,"1",F,""
"CANJEDECUPONES","MonedaComprobante","CanjeCupones","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"Cupon.SimboloMonetario"
"CANJEDECUPONES","CuponIdCaja","CanjeCupones","IdCaja",F,"N",2,0,"CODIGO",F,"CAJAESTADO",F,"",F,"Cupon.IdCaja"
"CANJEDECUPONES","CuponValorTipo","CanjeCupones","ValTip",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Cupon.Valor.Tipo"
"CANJEDECUPONES","CuponValor","CanjeCupones","Valor",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,"Cupon.Valor"
"CANJEDECUPONES","CuponValorDetalle","CanjeCupones","ValorDet",F,"C",30,0,"CARACTER",F,"",F,"",F,"Cupon.Valor.Descripcion"
"CANJEDECUPONES","Cliente","CanjeCupones","Cliente",T,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,""
"CANJEDECUPONES","Proveedor","CanjeCupones","Proveedor",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"CANJEDECUPONES","Concepto","CanjeCupones","Concepto",F,"C",10,0,"CODIGO",F,"CONCEPTOCAJA",F,"",F,""
"CANJEDECUPONES","Vendedor","CanjeCupones","Vendedor",T,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"CANJEDECUPONES","Anulado","CanjeCupones","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CANJEDECUPONES","Letra","CanjeCupones","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTELIMITADO",F,"",F,"",F,""
"CANJEDECUPONES","PuntoDeVenta","CanjeCupones","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTELIMITADO",F,"",F,"",F,""
"CANJEDECUPONES","Numero","CanjeCupones","Numero",T,"N",12,0,"NUMEROCOMPROBANTELIMITADO",F,"",F,"",F,""
"CANJEDECUPONES","Fecha","CanjeCupones","Fecha",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"CANJEDECUPONES","Cupon","CanjeCupones","Cupon",F,"G",38,0,"CODIGOSINALTA",F,"CUPON",F,"",F,""
"CANJEDECUPONES","CuponTipo","CanjeCupones","tipo",F,"C",2,0,"COMBOTIPOCUPON",F,"",F,"",F,"Cupon.TipoCupon"
"CANJEDECUPONES","CuponNumeroCupon","CanjeCupones","NumeroCup",F,"N",12,0,"NUMERICO",F,"",T,"",F,"Cupon.NumeroCupon"
"CANJEDECUPONES","CuponFecha","CanjeCupones","FechaCup",F,"D",8,0,"FECHA",F,"",F,"",F,"Cupon.FechaCupon"
"CANJEDECUPONES","CuponHora","CanjeCupones","Hora",F,"C",5,0,"HORA",F,"",F,"",F,"Cupon.HoraCupon"
"CANJEDECUPONES","CuponMonto","CanjeCupones","Monto",F,"N",17,2,"NUMERICO",F,"",F,"",F,"Cupon.Monto"
"CANJEDECUPONES","CuponTipoComprobante","CanjeCupones","CompTipo",F,"N",2,0,"COMBOTIPOCOMPROBANTE",F,"",F,"",F,"Cupon.TipoComprobante"
"CANJEDECUPONES","ValoresAEnt","CanjeCuponesEnt","Codigo",T,"G",38,0,"DETALLEITEMVALORESAENT",F,"",F,"",F,""
"CANJEDECUPONES","CuponLetraComprobante","CanjeCupones","Letra",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,"Cupon.LetraComprobante"
"CANJEDECUPONES","CuponPuntoDeVentaComprobante","CanjeCupones","PtoVen",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,"Cupon.PuntoDeVentaComprobante"
"CANJEDECUPONES","CuponNumeroComprobante","CanjeCupones","NumComp",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,"Cupon.NumeroComprobante"
"CANJEDECUPONES","CuponFechaComprobante","CanjeCupones","FechaComp",F,"D",8,0,"FECHA",F,"",F,"",F,"Cupon.FechaComprobante"
"CANJEDECUPONES","CuponBaseDeDatos","CanjeCupones","BaseDatos",F,"C",8,0,"CARACTER",F,"",F,"",F,"Cupon.BaseDeDatos"
"CANJEDECUPONES","CuponSerieOrigen","CanjeCupones","Serie",F,"C",10,0,"CARACTER",F,"",F,"",F,"Cupon.SerieOrigen"
"CANJEDECUPONES","ValoresDetalle","CanjeCuponesDet","JJNUM",T,"G",38,0,"DETALLEITEMCANJECUPONES",F,"",F,"",F,""
"CANJEDECUPONES","Obs","CanjeCupones","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CANJEDECUPONES","Total","CanjeCupones","FTotal",F,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"CANJEDECUPONES","Diferencia","","",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
