entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CHEQUEPROPIO","Codigo","CHQPROP","cCod",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"CHEQUEPROPIO","PuntoDeVenta","CHQPROP","ptoventa",T,"N",4,0,"NUMEROINTERNO",F,"",F,"@ObtenerValorSugeridoPuntodeventa()",F,""
"CHEQUEPROPIO","FechaOrdenamiento","CHQPROP","FechaOrden",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CHEQUEPROPIO","Anulado","CHQPROP","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CHEQUEPROPIO","NumeroC","CHQPROP","numeroC",T,"N",8,0,"NUMEROINTERNO",F,"",F,"",F,""
"CHEQUEPROPIO","Estado","CHQPROP","Estado",T,"C",5,0,"COMBOSERVICIOCHEQUE",F,"",F,"",F,""
"CHEQUEPROPIO","Tipo","CHQPROP","TipoCH",T,"N",2,0,"COMBOTIPODEVALORES",F,"",F,"",F,""
"CHEQUEPROPIO","Valor","CHQPROP","cValor",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","LetraOrigen","CHQPROP","cLetra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","DescripcionTipoComprobanteOrigen","","",F,"C",80,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","PuntoDeVentaOrigen","CHQPROP","cptovta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"CHEQUEPROPIO","NumeroOrigen","CHQPROP","cnum",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"CHEQUEPROPIO","ComprobanteOrigen","CHQPROP","cCompOri",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","PagueseA","CHQPROP","cPagueseA",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","FechaOrigen","CHQPROP","cFecOri",F,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",F,""
"CHEQUEPROPIO","Vendedor","CHQPROP","cVend",F,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"CHEQUEPROPIO","Cliente","CHQPROP","Cliente",F,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,""
"CHEQUEPROPIO","Proveedor","CHQPROP","prvOrig",F,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"CHEQUEPROPIO","DescripcionTipoComprobanteAfectante","","",F,"C",80,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","ComprobanteAfectante","CHQPROP","CompA",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"CHEQUEPROPIO","ChequeElectronico","CHQPROP","CElectro",T,"L",1,0,"SINOBOOL",F,"",F,"= .F.",F,""
"CHEQUEPROPIO","FechaAfectante","CHQPROP","FechaA",F,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"CHEQUEPROPIO","ClienteAfectante","CHQPROP","clAfec",F,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,""
"CHEQUEPROPIO","ProveedorAfectante","CHQPROP","prvAfec",F,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"CHEQUEPROPIO","Chequera","CHQPROP","Chequera",T,"C",5,0,"CODIGO",F,"CHEQUERA",F,"",T,""
"CHEQUEPROPIO","EntidadFinanciera","CHQPROP","cEntFin",T,"C",5,0,"CODIGO",F,"ENTIDADFINANCIERA",F,"",F,"Chequera.CuentaBancaria.SucursalBancaria.EntidadFinanciera"
"CHEQUEPROPIO","Numero","CHQPROP","cNumero",T,"N",10,0,"NUMERICO",F,"",F,"",T,""
"CHEQUEPROPIO","FechaEmision","CHQPROP","cFechaEmi",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",T,""
"CHEQUEPROPIO","Fecha","CHQPROP","cFecha",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",T,""
"CHEQUEPROPIO","Monto","CHQPROP","cMonto",T,"N",16,2,"NUMERICO",F,"",F,"",T,""
"CHEQUEPROPIO","TipoDeComprobanteOrigen","CHQPROP","cTipC",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"CHEQUEPROPIO","FechaEndoso","CHQPROP","cFecEnd",F,"D",8,0,"FECHACALENDARIO",F,"",F,"=golibrerias.obtenerfecha()",F,""
"CHEQUEPROPIO","FechaVencimiento","CHQPROP","FechaVenci",F,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"CHEQUEPROPIO","Moneda","CHQPROP","cMoneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"CHEQUEPROPIO","cSerieAfectante","CHQPROP","CSERIEA",F,"C",10,0,"CARACTER",F,"",F,"",F,""
