entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CLIENTE","Codigo","CLI","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",T,""
"CLIENTE","FechaDeAlta","CLI","CLFING",F,"D",8,0,"FECHA",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"CLIENTE","FechaUltimaModificacion","CLI","CD1",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CLIENTE","PIN","CLI","CLPIN",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","TipoInterno","CLI","CLTPO",F,"N",1,0,"NUMERICO",F,"",F,"1",F,""
"CLIENTE","idglobal","CLI","globalid",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","PrimerNombre","CLI","PRINOM",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","Apellido","CLI","APELLIDO",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","SituacionFiscal","CLI","CLIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"3",F,""
"CLIENTE","SitFiscalUruguay","","",T,"N",2,0,"COMBOXML",F,"",F,"2",F,""
"CLIENTE","Nombre","CLI","CLNOM",T,"C",30,0,"TEXTOBUSQUEDA",F,"",T,"",T,""
"CLIENTE","EMail","CLI","CLEMAIL",T,"C",32,0,"MAILCLIENTE",F,"",F,"",F,""
"CLIENTE","RUT","CLI","RUT",T,"C",12,0,"RUT",F,"",F,"",F,""
"CLIENTE","Observacion","CLI","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CLIENTE","IdCentralizador","CLI","centid",F,"N",10,0,"NUMERICO",F,"",F,"",F,""
"CLIENTE","TipoDocumento","CLI","CLTIPODOC",T,"C",2,0,"DOCUMENTOCLIENTE",F,"",F,"",F,""
"CLIENTE","NroDocumento","CLI","CLNRODOC",T,"C",10,0,"DOCUMENTOCLIENTE",F,"",F,"",F,""
"CLIENTE","Sexo","CLI","Sexo",T,"C",10,0,"COMBOXML",F,"",F,"",F,""
"CLIENTE","Cuit","CLI","CLCUIT",T,"C",15,0,"CUITBUSQUEDA",F,"",F,"",F,""
"CLIENTE","Calle","CLI","CLCalle",T,"C",250,0,"DIRECCION",F,"",F,"",F,""
"CLIENTE","Localidad","CLI","CLLOC",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"CLIENTE","Numero","CLI","CLNro",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"CLIENTE","CodigoPostal","CLI","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","Piso","CLI","ClPiso",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"CLIENTE","Departamento","CLI","CLDEPTO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"CLIENTE","Fax","CLI","CLFAX",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","Provincia","CLI","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"CLIENTE","Pais","CLI","CLPAIS",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"CLIENTE","Telefono","CLI","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","Movil","CLI","CLTMovil",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","PaginaWeb","CLI","CLPAGEWEB",T,"C",20,0,"WEB",F,"",F,"",F,""
"CLIENTE","Messenger","CLI","CLMSN",F,"C",32,0,"MAIL",F,"",F,"",F,""
"CLIENTE","Vendedor","CLI","Vende",T,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"CLIENTE","ListaDePrecio","CLI","CLLISTPRE",T,"C",6,0,"CODIGO",F,"Listadeprecios",F,"",F,""
"CLIENTE","DescuentoPreferente","CLI","CLCO_DTO",T,"C",10,0,"CODIGO",F,"DESCUENTO",F,"",F,""
"CLIENTE","TopeCtaCte","CLI","CLTOPECCTE",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CLIENTE","CondicionDePago","CLI","CLCONDPAG",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"CLIENTE","Clasificacion","CLI","CLCLAS",T,"C",10,0,"CODIGO",F,"CLASIFICACIONCLIENTE",F,"",F,""
"CLIENTE","TipoCli","CLI","CLTipoCli",T,"C",10,0,"CODIGO",F,"TIPOCLIENTE",F,"",F,""
"CLIENTE","CategCli","CLI","CLCategCli",T,"C",10,0,"CODIGO",F,"CATEGORIACLIENTE",F,"",F,""
"CLIENTE","Clasificacion2","CLI","CLSER",F,"N",1,0,"CLASIFICACION",F,"",F,"1",F,""
"CLIENTE","ClasificacionSecundaria","CLI","CLIMPD",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"CLIENTE","CFI","CLI","CLCFI",F,"N",1,0,"SINOGENERICO",F,"",F,"",F,""
"CLIENTE","Credito","CLI","CNX1",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
