entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMISION","Codigo","COMISION","CODIGO",T,"C",10,0,"CODIGO",T,"",F,"",T,""
"COMISION","Descripcion","COMISION","Descrip",T,"C",40,0,"CARACTER",F,"",T,"",F,""
"COMISION","Conformacion1","COMISION","Conforma1",F,"C",200,0,"CARACTER",F,"",F,"",F,""
"COMISION","Conformacion2","COMISION","Conforma2",F,"C",200,0,"CARACTER",F,"",F,"",F,""
"COMISION","FechaVigenciaDesde","COMISION","FECHAFD",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"COMISION","FechaVigenciaHasta","COMISION","FECHAH",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha()+90",T,""
"COMISION","fechamodificacionfw","COMISION","FModiFW",T,"D",8,0,"FECHA",F,"",F,"",F,""
"COMISION","horamodificacionfw","COMISION","HModiFW",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"COMISION","Porcentaje","COMISION","Porcent",T,"N",7,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"COMISION","MontoFijo","COMISION","MontoF",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"COMISION","Observacion","COMISION","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"COMISION","f_Articulo_Desde","COMISION","ArtDesde",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Articulo_Hasta","COMISION","ArtHasta",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",15)",F,""
"COMISION","f_Color_desde","COMISION","ColDesde",T,"C",6,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Color_hasta","COMISION","ColHasta",T,"C",6,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",6 )",F,""
"COMISION","f_Talle_Desde","COMISION","TalDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Talle_Hasta","COMISION","TalHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",5 )",F,""
"COMISION","f_Articulo_Proveedor_Desde","COMISION","ProvDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Articulo_Proveedor_Hasta","COMISION","ProvHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10)",F,""
"COMISION","f_Articulo_Unidad_Desde","COMISION","UniDesde",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Articulo_Unidad_Hasta","COMISION","UniHasta",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",3)",F,""
"COMISION","f_Articulo_Material_Desde","COMISION","MatDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Articulo_Material_Hasta","COMISION","MatHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10)",F,""
"COMISION","f_Sucursal_Codigo_desde","COMISION","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Sucursal_Codigo_hasta","COMISION","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10 )",F,""
"COMISION","f_Sucursal_Tipo_Desde","COMISION","TipSDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Sucursal_Tipo_Hasta","COMISION","TipSHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10)",F,""
"COMISION","f_Sucursal_Linea_Desde","COMISION","LinSDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Sucursal_Linea_Hasta","COMISION","LinSHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10)",F,""
"COMISION","f_Sucursal_Segmentacion_Desde","COMISION","SegSDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMISION","f_Sucursal_Segmentacion_Hasta","COMISION","SegSHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",10)",F,""
