entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPLETARDESDEVENTAS","Codigo","COMPVTAS","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPLETARDESDEVENTAS","FechaDesde","COMPVTAS","FechaDesde",T,"D",8,0,"FECHACALENDARIO",F,"",T,"",T,""
"COMPLETARDESDEVENTAS","FechaHasta","COMPVTAS","FechaHasta",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.Librerias.ObtenerFecha()",T,""
"COMPLETARDESDEVENTAS","BaseOrigen","COMPVTAS","BaseOrig",T,"C",21,0,"COMBOSUCYAGRU",F,"",F,"",F,""
"COMPLETARDESDEVENTAS","BaseStock","COMPVTAS","BaseStock",T,"C",21,0,"COMBOSUCYAGRUSTOCK",F,"",F,"",F,""
"COMPLETARDESDEVENTAS","NoComercializable","COMPVTAS","NoCom",T,"C",20,0,"COMBOXML",F,"",F,"1",F,""
"COMPLETARDESDEVENTAS","f_Cliente_Desde","COMPVTAS","CliDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"COMPLETARDESDEVENTAS","f_Cliente_Hasta","COMPVTAS","CliDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"ZZZZZ",F,""
"COMPLETARDESDEVENTAS","f_Articulo_Desde","COMPVTAS","ArtDesde",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMPLETARDESDEVENTAS","f_Articulo_Hasta","COMPVTAS","ArtHasta",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZ",F,""
"COMPLETARDESDEVENTAS","f_Color_Desde","COMPVTAS","ColDesde",T,"C",2,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMPLETARDESDEVENTAS","f_Color_Hasta","COMPVTAS","ColHasta",T,"C",2,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZ",F,""
"COMPLETARDESDEVENTAS","f_Talle_Desde","COMPVTAS","TalDesde",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"COMPLETARDESDEVENTAS","f_Talle_Hasta","COMPVTAS","TalHasta",T,"C",3,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZ",F,""
