entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDECAJA","Signodemovimiento","CompCaja","signoMov",F,"N",2,0,"NUMERICO",F,"",F,"1",F,""
"COMPROBANTEDECAJA","CodigoOriginal","CompCaja","CODIGOORI",F,"C",20,0,"NUMERICO",F,"",F,"",F,""
"COMPROBANTEDECAJA","FechaOriginal","CompCaja","FECHAORI",F,"D",8,0,"FECHA",F,"",F,"",F,""
"COMPROBANTEDECAJA","MonedaComprobante","CompCaja","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDECAJA","Cotizacion","CompCaja","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"COMPROBANTEDECAJA","MonedaSistema","CompCaja","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDECAJA","OrigenDestino","CompCaja","ORIGDEST",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",T,""
"COMPROBANTEDECAJA","Concepto","CompCaja","Concepto",T,"C",10,0,"CODIGO",F,"CONCEPTOCAJA",F,"",T,""
"COMPROBANTEDECAJA","Tipo","CompCaja","Tipo",T,"N",1,0,"COMBOXML",F,"",F,"",T,""
"COMPROBANTEDECAJA","CajaOrigen","CompCaja","CajaOrig",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"this.ObtenerCajaOrigen()",T,""
"COMPROBANTEDECAJA","CajaDestino","CompCaja","CajaDest",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"COMPROBANTEDECAJA","Vendedor","CompCaja","Vendedor",T,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",T,""
"COMPROBANTEDECAJA","Fecha","CompCaja","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"COMPROBANTEDECAJA","Identificador","CompCaja","Codigo",F,"C",20,0,"CODIGONUMERICO",T,"",F,"",T,""
"COMPROBANTEDECAJA","Numero","CompCaja","Numero",T,"N",10,0,"CLAVEDEBUSQUEDA",F,"",F,"@ObtenerSiguienteNumerico()",T,""
"COMPROBANTEDECAJA","Observacion","CompCaja","CObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"COMPROBANTEDECAJA","Valores","CompCajaDet","CodDetVal",T,"C",20,0,"DETALLEITEMVALORESCAJA",F,"",F,"",F,""
