entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDERETENCIONES","TipoImpuesto","CompRet","TipoImp",F,"C",10,0,"CODIGO",F,"TIPOIMPUESTO",F,"='IIBB'",F,""
"COMPROBANTEDERETENCIONES","CalculoDetallado","","",F,"M",0,0,"OBSERVACION18R",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Proveedor","CompRet","Prov",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"PROVEEDOR",F,"",F,""
"COMPROBANTEDERETENCIONES","ProveedorDescripcion","CompRet","DesProv",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Proveedor.Nombre"
"COMPROBANTEDERETENCIONES","MonedaComprobante","CompRet","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDERETENCIONES","ImpuestosManuales","CompRet","ImpMan",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","FormaDeCalculo","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","PuntoDeVenta","CompRet","PtoVenta",T,"N",4,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Numero","CompRet","Numero",T,"N",10,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Fecha","CompRet","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",F,""
"COMPROBANTEDERETENCIONES","LetraOrdenDePago","CompRet","LetraOP",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","PuntoDeVentaOrdenDePago","CompRet","PtoVenOP",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","NumeroOrdenDePago","CompRet","NumOP",F,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Obs","CompRet","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COMPROBANTEDERETENCIONES","ComprobantesDetalle","CRCompDet","CODIGO",T,"G",38,0,"DETALLEITEMCDRCOMPROBANTES",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","ImpuestosDetalle","CRImpDet","CODIGO",T,"G",38,0,"DETALLEITEMCDRIMPUESTOS",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Total","CompRet","CRTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","Codigo","CompRet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEDERETENCIONES","Anulado","CompRet","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONES","MonedaSistema","CompRet","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
