entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDERETENCIONESGANANCIAS","ImpuestosDetalle","CRImpDet","CODIGO",F,"G",38,0,"DETALLEITEMCDRIMPUESTOS",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","TipoImpuesto","CompRet","TipoImp",F,"C",10,0,"CODIGO",F,"TIPOIMPUESTO",F,"='GANANCIAS'",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Proveedor","CompRet","Prov",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"PROVEEDOR",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","ProveedorDescripcion","CompRet","DesProv",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Proveedor.Nombre"
"COMPROBANTEDERETENCIONESGANANCIAS","MonedaComprobante","CompRet","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","ImpuestosManuales","CompRet","ImpMan",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","FormaDeCalculo","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","PuntoDeVenta","CompRet","PtoVenta",T,"N",4,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Numero","CompRet","Numero",T,"N",10,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Fecha","CompRet","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","LetraOrdenDePago","CompRet","LetraOP",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","PuntoDeVentaOrdenDePago","CompRet","PtoVenOP",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","NumeroOrdenDePago","CompRet","NumOP",T,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Obs","CompRet","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","ComprobantesDetalle","CRCompDet","CODIGO",T,"G",38,0,"DETALLEITEMCDRCOMPROBANTES",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","CalculoDetallado","","",T,"M",0,0,"OBSERVACION18R",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Total","CompRet","CRTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","Codigo","CompRet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEDERETENCIONESGANANCIAS","Anulado","CompRet","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESGANANCIAS","MonedaSistema","CompRet","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
