entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDERETENCIONESIVA","ImpuestosDetalle","CRImpDet","CODIGO",F,"G",38,0,"DETALLEITEMCDRIMPUESTOS",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","TipoImpuesto","CompRet","TipoImp",F,"C",10,0,"CODIGO",F,"TIPOIMPUESTO",F,"='IVA'",F,""
"COMPROBANTEDERETENCIONESIVA","Proveedor","CompRet","Prov",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"PROVEEDOR",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","ProveedorDescripcion","CompRet","DesProv",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Proveedor.Nombre"
"COMPROBANTEDERETENCIONESIVA","MonedaComprobante","CompRet","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","ImpuestosManuales","CompRet","ImpMan",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","FormaDeCalculo","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","PuntoDeVenta","CompRet","PtoVenta",T,"N",4,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","Numero","CompRet","Numero",T,"N",10,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","Fecha","CompRet","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",F,""
"COMPROBANTEDERETENCIONESIVA","LetraOrdenDePago","CompRet","LetraOP",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","PuntoDeVentaOrdenDePago","CompRet","PtoVenOP",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","NumeroOrdenDePago","CompRet","NumOP",T,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","Obs","CompRet","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COMPROBANTEDERETENCIONESIVA","ComprobantesDetalle","CRCompDet","CODIGO",T,"G",38,0,"DETALLEITEMCDRCOMPROBANTES",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","CalculoDetallado","","",T,"M",0,0,"OBSERVACION18R",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","Total","CompRet","CRTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","Codigo","CompRet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEDERETENCIONESIVA","Anulado","CompRet","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESIVA","MonedaSistema","CompRet","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
