entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDERETENCIONESSUSS","ImpuestosDetalle","CRImpDet","CODIGO",F,"G",38,0,"DETALLEITEMCDRIMPUESTOS",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","TipoImpuesto","CompRet","TipoImp",F,"C",10,0,"CODIGO",F,"TIPOIMPUESTO",F,"='SUSS'",F,""
"COMPROBANTEDERETENCIONESSUSS","Proveedor","CompRet","Prov",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"PROVEEDOR",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","ProveedorDescripcion","CompRet","DesProv",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Proveedor.Nombre"
"COMPROBANTEDERETENCIONESSUSS","MonedaComprobante","CompRet","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","ImpuestosManuales","CompRet","ImpMan",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","FormaDeCalculo","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","PuntoDeVenta","CompRet","PtoVenta",T,"N",4,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","Numero","CompRet","Numero",T,"N",10,0,"NUMEROINTERNO",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","Fecha","CompRet","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",F,""
"COMPROBANTEDERETENCIONESSUSS","LetraOrdenDePago","CompRet","LetraOP",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","PuntoDeVentaOrdenDePago","CompRet","PtoVenOP",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","NumeroOrdenDePago","CompRet","NumOP",T,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","Obs","CompRet","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COMPROBANTEDERETENCIONESSUSS","ComprobantesDetalle","CRCompDet","CODIGO",T,"G",38,0,"DETALLEITEMCDRCOMPROBANTES",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","CalculoDetallado","","",T,"M",0,0,"OBSERVACION18R",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","Total","CompRet","CRTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","Codigo","CompRet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEDERETENCIONESSUSS","Anulado","CompRet","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONESSUSS","MonedaSistema","CompRet","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
