entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDERETENCIONRECIBIDO","Codigo","CompRR","codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Anulado","CompRR","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Cliente","CompRR","cliente",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","ClienteDetalle","CompRR","cliedesc",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"CLIENTE.NOMBRE"
"COMPROBANTEDERETENCIONRECIBIDO","Cuit","CompRR","cuit",T,"C",15,0,"CUIT",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","TipoImpuesto","CompRR","TipoImp",T,"C",10,0,"COMBOXML",F,"",F,"IVA",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Regimen","CompRR","regimen",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","RegimenDetalle","CompRR","regidesc",F,"C",100,0,"CARACTER",F,"",F,"",F,"REGIMEN.DESCRIPCION"
"COMPROBANTEDERETENCIONRECIBIDO","NumeroInterno","CompRR","numint",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","FechaCertificado","CompRR","fechcert",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","NumeroCertificado","CompRR","numecert",T,"C",20,0,"CARACTER",F,"",T,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Recibo","CompRR","recibo",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","FechaRecibo","CompRR","fechreci",T,"D",8,0,"FECHA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","RetencionesDetalle","CompRRDet","CODIGO",T,"G",38,0,"DETALLEITEMRETENCIONRECIBIDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Total","CompRR","RTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
"COMPROBANTEDERETENCIONRECIBIDO","Observaciones","CompRR","obse",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
