entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEPAGO","anulado","COMPPAGO","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"COMPROBANTEPAGO","TipoComprobante","COMPPAGO","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=50",F,""
"COMPROBANTEPAGO","Cotizacion","COMPPAGO","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"COMPROBANTEPAGO","MonedaSistema","COMPPAGO","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEPAGO","Referencia","COMPPAGO","FNUMCOMP",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEPAGO","Proveedor","COMPPAGO","FPerson",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"COMPROBANTEPAGO","MonedaComprobante","COMPPAGO","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"=goParametros.Felino.Generales.MonedaSistema",F,""
"COMPROBANTEPAGO","Numero","COMPPAGO","Numero",T,"N",10,0,"CLAVECANDIDATA",F,"",F,"",T,""
"COMPROBANTEPAGO","Codigo","COMPPAGO","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEPAGO","Letra","COMPPAGO","FLETRA",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEPAGO","PuntoDeVenta","COMPPAGO","FPTOVEN",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"COMPROBANTEPAGO","Fecha","COMPPAGO","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"COMPROBANTEPAGO","FechaCompro","COMPPAGO","FFCHCOMP",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",F,""
"COMPROBANTEPAGO","CentroDeCosto","COMPPAGO","CCosto",T,"C",20,0,"CODIGO",F,"CENTRODECOSTO",F,"",F,""
"COMPROBANTEPAGO","DistribucionPorCentroDeCosto","COMPPAGO","DisCCos",T,"C",20,0,"CODIGO",F,"DISTRIBUCIONCENTRODECOSTO",F,"",F,""
"COMPROBANTEPAGO","ComprobantePagoDetalle","COMPPAGODET","CODIGO",T,"G",38,0,"DETALLEITEMCOMPROBANTEPAGO",F,"",F,"",F,""
"COMPROBANTEPAGO","ValoresDetalle","VALCOMPPAGO","JJNUM",T,"G",38,0,"DETALLEITEMVALORESCOMPROPAGO",F,"",F,"",F,""
"COMPROBANTEPAGO","Obs","COMPPAGO","FObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COMPROBANTEPAGO","Total","COMPPAGO","FTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
