entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Condiciondepago","Codigo","CONDPAGO","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",T,""
"Condiciondepago","Descripcion","CONDPAGO","CLNOM",T,"C",100,0,"DESCRIPCION",F,"",T,"",T,""
"Condiciondepago","TipoDePagos","CONDPAGO","tipopago",T,"N",1,0,"COMBOXML",F,"",F,"1",F,""
"Condiciondepago","FechaDeVencimiento","CONDPAGO","FechaVen",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"Condiciondepago","Observacion","CONDPAGO","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"Condiciondepago","Frecuencia","CONDPAGO","frecuencia",T,"M",0,0,"FRECUENCIA",F,"",F,"",F,""
"Condiciondepago","CantidadDePagos","CONDPAGO","CantPagos",T,"N",2,0,"NUMERICO",F,"",F,"",T,""
"Condiciondepago","CuentaCorriente","CONDPAGO","Ctacte",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"Condiciondepago","Anticipo","CONDPAGO","anticipo",T,"N",5,2,"NUMERICO",F,"",F,"",F,""
"Condiciondepago","CodigoValorAnticipo","CONDPAGO","cvalant",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"Condiciondepago","Descuento","CONDPAGO","descuento",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"Condiciondepago","Recargo","CONDPAGO","recargo",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"Condiciondepago","PagosPersonalizados","DETPAGOSPERS","Codigo",T,"G",38,0,"DETALLEITEMPAGOSPERSONALIZADOS",F,"",F,"",F,""
