entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ConsumoCliente","Codigo","CONCLI","Codigo",T,"G",38,0,"CODIGO",T,"",F,"",F,""
"ConsumoCliente","LimiteConsumo","CONCLI","limConsumo",F,"G",38,0,"CODIGO",F,"LIMITECONSUMO",F,"",F,""
"ConsumoCliente","BaseDeDatos","CONCLI","db",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"ConsumoCliente","Anulado","CONCLI","anul",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ConsumoCliente","Signo","CONCLI","signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ConsumoCliente","CodigoComprobante","CONCLI","codcomp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ConsumoCliente","Cliente","CONCLI","cliente",T,"C",5,0,"CARACTER",F,"",T,"",F,""
"ConsumoCliente","tipoComprobante","CONCLI","TipComp",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ConsumoCliente","Letra","CONCLI","Letra",T,"C",1,0,"CARACTER",F,"",F,"",F,""
"ConsumoCliente","PuntoDeVenta","CONCLI","ptoVta",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ConsumoCliente","Numero","CONCLI","num",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ConsumoCliente","FechaComp","CONCLI","FecComp",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ConsumoCliente","monto","CONCLI","monto",T,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ConsumoCliente","Observacion","CONCLI","obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
