entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CONTABILIZACION","Numero","CONTABIL","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"CONTABILIZACION","Descripcion","CONTABIL","DESCRIP",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"CONTABILIZACION","Fecha","CONTABIL","FECHA",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"CONTABILIZACION","Observacion","CONTABIL","EOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CONTABILIZACION","Ejercicio","CONTABIL","EJERCICIO",T,"N",8,0,"CODIGONUMERICO",F,"EJERCICIO",F,"",T,""
"CONTABILIZACION","RazonSocial","CONTABIL","RSOCIAL",T,"C",10,0,"CODIGO",F,"RAZONSOCIAL",F,"",F,""
"CONTABILIZACION","FechaDesde","CONTABIL","FECHADES",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
"CONTABILIZACION","FechaHasta","CONTABIL","FECHAHAS",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",T,""
"CONTABILIZACION","Sucursal","CONTABIL","SUCURSAL",T,"C",5,0,"CODIGO",F,"SUCURSAL",F,"",F,""
"CONTABILIZACION","BaseDeDatos","CONTABIL","BASE",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaVentasLocales","CONTABIL","F_VTASLOC",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaVentasExportacion","CONTABIL","F_VTASEXP",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaRecibos","CONTABIL","F_RECIBOS",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaCompras","CONTABIL","F_COMPRAS",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaPagos","CONTABIL","F_PAGOS",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaOtrosPagos","CONTABIL","F_OTROSPAG",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaCaja","CONTABIL","F_CAJA",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaCanjes","CONTABIL","F_CANJES",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaDescargas","CONTABIL","F_DESCCHEQ",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaLiqTarjetas","CONTABIL","F_LIQTARJ",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaTransferencias","CONTABIL","F_TRANSF",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaAjusteCCCliente","CONTABIL","F_CCCLIENT",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaAjusteCCProveedor","CONTABIL","F_CCPROVED",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaChequesConciliados","CONTABIL","F_CONCILIA",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","RangoDeAsientosGenerados","CONTABIL","RANGOASIE",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"CONTABILIZACION","BDProcesadas","CONTABIL","BASESPROC",T,"M",0,0,"TEXTO1R",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaFacturaManual","CONTABIL","F_FACTMAN",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaNotaDebitoManual","CONTABIL","F_NDMAN",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONTABILIZACION","ContabilizaNotaCreditoManual","CONTABIL","F_NCMAN",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
