entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CORREDOR","Codigo","CORRE","COCOD",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"CORREDOR","Nombre","CORRE","CONOM",T,"C",60,0,"DESCRIPCION",F,"",T,"",F,""
"CORREDOR","Observacion","CORRE","COOBS",T,"C",76,0,"OBSERVACION",F,"",F,"",F,""
"CORREDOR","Direccion","CORRE","CODIR",T,"C",70,0,"TEXTO",F,"",F,"",F,""
"CORREDOR","Localidad","CORRE","COLOC",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"CORREDOR","CodigoPostal","CORRE","COCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"CORREDOR","Provincia","CORRE","COPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"CORREDOR","Telefono","CORRE","COTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"CORREDOR","Fax","CORRE","COFAX",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"CORREDOR","Email","CORRE","COEMAIL",T,"C",60,0,"MAIL",F,"",F,"",F,""
"CORREDOR","PaginaWeb","CORRE","COPAGEWEB",T,"C",60,0,"WEB",F,"",F,"",F,""
"CORREDOR","Contacto","CORRE","COCONTAC",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"CORREDOR","SituacionFiscal","CORRE","COIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"1",F,""
"CORREDOR","Cuit","CORRE","COCUIT",T,"C",15,0,"CUIT",F,"",F,"",F,""
"CORREDOR","TipoDocumento","CORRE","COTIPODOC",T,"C",2,0,"DOCUMENTO",F,"",F,"",F,""
"CORREDOR","NroDocumento","CORRE","CONRODOC",T,"C",10,0,"DOCUMENTO",F,"",F,"",F,""
"CORREDOR","Imagen","CORRE","COIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"CORREDOR","ComisionVentas","CORRE","COCOMVTA",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CORREDOR","ComisionCobranzas","CORRE","COCOMCOB",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CORREDOR","FechaDeAlta","CORRE","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CORREDOR","FechaUltimaModificacion","CORRE","",F,"D",8,0,"FECHA",F,"",F,"",F,""
