entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CRITERIOSVALORES","NUMERO","cacepv","numero",T,"N",10,0,"CODIGONUMERICO",T,"",F,"",F,""
"CRITERIOSVALORES","Descripcion","cacepv","cdesc",T,"C",80,0,"DESCRIPCION",F,"",T,"",F,""
"CRITERIOSVALORES","Comportamiento","cacepv","comp",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"CRITERIOSVALORES","FechaModificacionFw","cacepv","FModiFW",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CRITERIOSVALORES","HoraModificacionFw","cacepv","HModiFW",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"CRITERIOSVALORES","VigenciaDesde","cacepv","vDesde",T,"D",8,0,"EtiquetaFechaDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","VigenciaHasta","cacepv","vHasta",T,"D",8,0,"EtiquetaFechaDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","HoraDesde","cacepv","HoraDesde",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"0000",F,""
"CRITERIOSVALORES","HoraHasta","cacepv","HoraHasta",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"2359",T,""
"CRITERIOSVALORES","DiaLu","cacepv","DiaLu",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaMa","cacepv","DiaMa",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaMi","cacepv","DiaMi",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaJu","cacepv","DiaJu",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaVi","cacepv","DiaVi",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaSa","cacepv","DiaSa",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","DiaDo","cacepv","DiaDo",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"CRITERIOSVALORES","Tipo","cacepv","CLCFI",T,"N",2,0,"COMBOTIPODEVALORESCONBLANCO",F,"",F,"",F,""
"CRITERIOSVALORES","Valor","cacepv","JJCO",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"CRITERIOSVALORES","Cuotas","cacepv","cuotas",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"CRITERIOSVALORES","Observacion","cacepv","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CRITERIOSVALORES","CantidadArticulosDesde","cacepv","CantDesde",T,"N",10,2,"EtiquetaCantidadDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","CantidadArticulosHasta","cacepv","CantHasta",T,"N",10,2,"EtiquetaCantidadDesdeHasta",F,"",F,"9999999.99",F,""
"CRITERIOSVALORES","TotalDesde","cacepv","TotalDesde",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","TotalHasta","cacepv","TotalHasta",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"999999999999.99",F,""
"CRITERIOSVALORES","MontoDescuentoDesde","cacepv","DesDesde",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","MontoDescuentoHasta","cacepv","DesHasta",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"999999999999.99",F,""
"CRITERIOSVALORES","PorcentajeDescuentoDesde","cacepv","FPODESd",T,"N",6,2,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","PorcentajeDescuentoHasta","cacepv","FPODESh",T,"N",6,2,"EtiquetaNumericoDesdeHasta",F,"",F,"100.00",F,""
"CRITERIOSVALORES","MontoRecargoDesde","cacepv","RecDesde",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","MontoRecargoHasta","cacepv","RecHasta",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"999999999999.99",F,""
"CRITERIOSVALORES","PorcentajeRecargoDesde","cacepv","FPORecd",T,"N",6,2,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"CRITERIOSVALORES","PorcentajeRecargoHasta","cacepv","FPORech",T,"N",6,2,"EtiquetaNumericoDesdeHasta",F,"",F,"100.00",F,""
"CRITERIOSVALORES","ListaDePrecios","cacepv","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"",F,""
"CRITERIOSVALORES","SucursalDesde","cacepv","sucdesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"CRITERIOSVALORES","SucursalHasta","cacepv","suchasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"=replicate('Z',10)",F,""
