entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CUENTACORREO","Codigo","ccorreo","codigo",T,"C",10,0,"CODIGO",T,"",F,"",F,""
"CUENTACORREO","Descripcion","ccorreo","descr",T,"C",80,0,"DESCRIPCION",F,"",T,"",F,""
"CUENTACORREO","Servidor","ccorreo","servidor",T,"C",130,0,"CARACTER",F,"",F,"",T,""
"CUENTACORREO","Puerto","ccorreo","puerto",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"CUENTACORREO","ConexionesSeguras","ccorreo","conseg",T,"L",1,0,"SINOBOOL",F,"",F,"=.t.",F,""
"CUENTACORREO","TiempoDeEspera","ccorreo","timout",F,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"=GOrEGISTRY.NUCLEO.DefaultTiempoDeEsperaSmtp",F,""
"CUENTACORREO","Usuario","ccorreo","usuario",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"CUENTACORREO","Password","ccorreo","pass",T,"C",200,0,"CONTRASENIA",F,"",F,"",F,""
"CUENTACORREO","observacion","ccorreo","obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CUENTACORREO","RefreshToken","ccorreo","RToken",F,"M",0,0,"TOKENENCRIPTADO",F,"",F,"",F,""
"CUENTACORREO","MailDe","ccorreo","mDe",T,"C",200,0,"MAIL",F,"",F,"",F,""
"CUENTACORREO","MailAlias","ccorreo","mAlias",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"CUENTACORREO","FechaToken","ccorreo","FechaToken",F,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
