entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CUPON","Codigo","Cupones","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"CUPON","Comprobante","Cupones","Comp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CUPON","CodigoCierreDeLote","Cupones","CierreLote",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"CUPON","Cotizacion","Cupones","Cotizacion",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"CUPON","IdCaja","Cupones","IdCaja",F,"N",2,0,"CODIGO",F,"CAJAESTADO",F,"",F,""
"CUPON","NumeroReferencia","Cupones","nroreferen",F,"N",12,0,"NUMERICO",F,"",F,"",F,""
"CUPON","NumeroReferenciaAfectado","Cupones","nrorefafdo",F,"N",12,0,"NUMERICO",F,"",F,"",F,""
"CUPON","TicketICardCl","Cupones","txtclicard",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CUPON","PuntoDeVenta","Cupones","PtoVenta",T,"N",4,0,"NUMEROINTERNO",F,"",F,"=goParametros.Felino.Numeraciones.BocaDeExpendio",F,""
"CUPON","NumeroInterno","Cupones","NroInterno",T,"N",8,0,"NUMEROINTERNO",F,"",F,"",F,""
"CUPON","RecargoPorcentaje","Cupones","recporc",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CUPON","DescuentoPorcentaje","Cupones","desporc",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CUPON","RecargoMonto","Cupones","recmonto",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
"CUPON","DescuentoMonto","Cupones","desmonto",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
"CUPON","TicketICard","Cupones","txticard",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CUPON","Observacion","Cupones","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CUPON","TipoComprobante","Cupones","CompTipo",T,"N",2,0,"COMBOTIPOCOMPROBANTEMASRECIBO",F,"",F,"",F,""
"CUPON","LetraComprobante","Cupones","Letra",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"CUPON","PuntoDeVentaComprobante","Cupones","PtoVen",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"CUPON","NumeroComprobante","Cupones","NumComp",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"CUPON","FechaComprobante","Cupones","FechaComp",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CUPON","BaseDeDatos","Cupones","BaseDatos",T,"C",8,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSucursalActiva",T,""
"CUPON","SerieOrigen","Cupones","Serie",T,"C",10,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSerie",T,""
"CUPON","Cliente","Cupones","codcli",T,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,""
"CUPON","TipoCupon","Cupones","tipo",T,"C",2,0,"COMBOTIPOCUPON",F,"",F,"",T,""
"CUPON","NumeroCupon","Cupones","Numero",T,"N",12,0,"NUMERICO",F,"",T,"",F,""
