entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DATOSRETENCIONRECIBIDO","codigo","CompRRData","codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"DATOSRETENCIONRECIBIDO","Cliente","","",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"DATOSRETENCIONRECIBIDO","ClienteDetalle","","",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",T,"CLIENTE.NOMBRE"
"DATOSRETENCIONRECIBIDO","Cuit","","",T,"C",15,0,"CUIT",F,"",F,"",T,""
"DATOSRETENCIONRECIBIDO","Recibo","","",T,"C",20,0,"CARACTER",F,"",F,"",T,""
"DATOSRETENCIONRECIBIDO","FechaRecibo","","",T,"D",8,0,"FECHA",F,"",F,"",T,""
"DATOSRETENCIONRECIBIDO","Impuesto","","",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",T,""
"DATOSRETENCIONRECIBIDO","ImpuestoDetalle","","",F,"C",50,0,"CARACTER",F,"",F,"",F,"IMPUESTO.DESCRIPCION"
"DATOSRETENCIONRECIBIDO","TipoImpuesto","","",T,"C",10,0,"CARACTER",F,"",F,"IVA",F,""
"DATOSRETENCIONRECIBIDO","Regimen","","",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"DATOSRETENCIONRECIBIDO","RegimenDetalle","","",F,"C",100,0,"CARACTER",F,"",F,"",F,"REGIMEN.DESCRIPCION"
"DATOSRETENCIONRECIBIDO","Jurisdiccion","","",T,"C",8,0,"CODIGO",F,"JURISDICCION",F,"",F,""
"DATOSRETENCIONRECIBIDO","JurisdiccionDetalle","","",F,"C",50,0,"CARACTER",F,"",F,"",F,"JURISDICCION.DESCRIPCION"
"DATOSRETENCIONRECIBIDO","Resolucion","","",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"DATOSRETENCIONRECIBIDO","NumeroCertificado","","",T,"C",20,0,"CARACTER",F,"",T,"",T,""
"DATOSRETENCIONRECIBIDO","FechaCertificado","","",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"",T,""
"DATOSRETENCIONRECIBIDO","Monto","","",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",T,""
"DATOSRETENCIONRECIBIDO","Observaciones","","",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
