entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DESPACHODEIMPORTACION","Fecha","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Incoterms","DespImp","Incoterms",T,"C",3,0,"CODIGO",F,"INCOTERMS",F,"",F,""
"DESPACHODEIMPORTACION","Moneda","DespImp","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"DESPACHODEIMPORTACION","CantUnidades","DespImp","CantUni",T,"C",9,0,"CARACTER",F,"",F,"",F,""
"DESPACHODEIMPORTACION","FOB","DespImp","Fob",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Flete","DespImp","Flete",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Seguro","DespImp","Seguro",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Despacho","DespImp","Despacho",T,"C",16,0,"CODIGO",T,"",T,"",T,""
"DESPACHODEIMPORTACION","FechaIng","DespImp","FechaIng",T,"D",8,0,"FECHA",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"DESPACHODEIMPORTACION","Oficializacion","DespImp","Oficializ",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Arribo","DespImp","Arribo",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","DetalleArticulos","DespImpDet","Codigo",T,"G",38,0,"DETALLEITEMARTICULOSDESPACHO",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Observacion","DespImp","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DESPACHODEIMPORTACION","Total","DespImp","FTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
