entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"FACTURAELECTRONICA","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"FACTURAELECTRONICA","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICA","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"FACTURAELECTRONICA","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=27",F,""
"FACTURAELECTRONICA","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"FACTURAELECTRONICA","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"FACTURAELECTRONICA","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"FACTURAELECTRONICA","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICA","impresionsituacionfiscal","","",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","impresionPorcentajedeiva","","",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"FACTURAELECTRONICA","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICA","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"FACTURAELECTRONICA","Caja","ComprobanteV","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"FACTURAELECTRONICA","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"FACTURAELECTRONICA","PromoArticulosDetalle","ProArtDet","CODIGO",F,"G",38,0,"DETALLEITEMPROMOARTICULOS",F,"",F,"",F,""
"FACTURAELECTRONICA","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","Despachos","ComprobanteV","Despachos",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICA","CodigoMotivoDescuentoEnSubtotal","ComprobanteV","MotDescDev",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"FACTURAELECTRONICA","CodigoAjuste","COMPROBANTEV","idAjuste",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","FueInformadoALaNube","ComprobanteV","InformNube",F,"D",8,0,"FECHA",F,"",F,"",F,""
"FACTURAELECTRONICA","DataECom","ComprobanteV","DatosEComm",F,"M",0,0,"TEXTO",F,"",F,"",F,""
"FACTURAELECTRONICA","NroOPEcommerce","ComprobanteV","OPEcomm",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"FACTURAELECTRONICA","Turno","ComprobanteV","FTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"FACTURAELECTRONICA","Email","COMPROBANTEV","Email",T,"C",250,0,"MAIL",F,"",F,"",F,""
"FACTURAELECTRONICA","DireccionEntrega","ComprobanteV","DirEntr",F,"C",250,0,"COMBODIRECCIONESENTREGA",F,"",F,"",F,""
"FACTURAELECTRONICA","ForPago","ComprobanteV","FPago",F,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"FACTURAELECTRONICA","AccionCancelatoria","ComprobanteV","Cancelar",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICA","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"FACTURAELECTRONICA","Contingencia","ComprobanteV","Contingenc",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICA","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"FACTURAELECTRONICA","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"FACTURAELECTRONICA","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"FACTURAELECTRONICA","IDSenia","ComprobanteV","IDSenia",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICA","Senia","ComprobanteV","Senia",F,"G",38,0,"CODIGO",F,"SENIA",F,"",F,""
"FACTURAELECTRONICA","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"FACTURAELECTRONICA","FechaVencimientoMiPyME","ComprobanteV","FFCHVTOPAG",T,"D",8,0,"DATOSMIPYME",F,"",F,"=goservicios.librerias.obtenerFecha() + goparametros.felino.gestionDEVENTAS.facTURACIONELECTRONICA.fechaDEVENCIMIENTOSUGERIDAPARALOSCOMPROBANTESDECREDITOENDIAS",F,""
"FACTURAELECTRONICA","OpcionTransmisionMipyme","ComprobanteV","OpcTrasmis",T,"C",5,0,"DATOSMIPYME",F,"",F,"=iif(inlist(goparametros.felino.gestiondeventas.facturacionelectronica.opciondetransmisionparacomprobantesdecreditomipyme,2,4),"SCA","ADC")",F,""
"FACTURAELECTRONICA","TipoCpteRelacionado","","",F,"N",2,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"FACTURAELECTRONICA","LetraCpteRelacionado","","",F,"C",1,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"FACTURAELECTRONICA","PuntoDeVentaCpteRelacionado","","",F,"N",4,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
