entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"FACTURAELECTRONICADECREDITO","Cliente","COMPROBANTEV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"FACTURAELECTRONICADECREDITO","ComprobanteFiscal","COMPROBANTEV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","FechaModificacion","COMPROBANTEV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","Hora","COMPROBANTEV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","SimboloMonetarioComprobante","COMPROBANTEV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","SubtotalBruto","COMPROBANTEV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","SubtotalNeto","COMPROBANTEV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","TipoComprobante","COMPROBANTEV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=54",F,""
"FACTURAELECTRONICADECREDITO","signodemovimiento","COMPROBANTEV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"FACTURAELECTRONICADECREDITO","ImpuestosDetalle","IMPUESTOSV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","anulado","COMPROBANTEV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","CondicionIva","COMPROBANTEV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"FACTURAELECTRONICADECREDITO","IdVuelto","COMPROBANTEV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"FACTURAELECTRONICADECREDITO","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"FACTURAELECTRONICADECREDITO","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
