entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"FILTRARCOMPROBANTESACONTROLAR","Codigo","COMPACONT","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"FILTRARCOMPROBANTESACONTROLAR","Descripcion","COMPACONT","Descrip",F,"C",1,0,"DESCRIPCION",F,"",T,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","ClienteDesde","COMPACONT","ClieDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","ClienteHasta","COMPACONT","ClieHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"ZZZZZZZZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","ProveedorDesde","COMPACONT","ProvDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","ProveedorHasta","COMPACONT","ProvHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"ZZZZZZZZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","OrigenDestinoDesde","COMPACONT","OrigDesde",T,"C",8,0,"EtiquetaCaracterDesdeHastaBusc",F,"ORIGENDEDATOS",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","OrigenDestinoHasta","COMPACONT","OrigHasta",T,"C",8,0,"EtiquetaCaracterDesdeHastaBusc",F,"ORIGENDEDATOS",F,"ZZZZZZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","FechaComprobanteDesde","COMPACONT","FeComDesde",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","FechaComprobanteHasta","COMPACONT","FeComHasta",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"FILTRARCOMPROBANTESACONTROLAR","FechaEntregaDesde","COMPACONT","FeEntDesde",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","FechaEntregaHasta","COMPACONT","FeEntHasta",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"FILTRARCOMPROBANTESACONTROLAR","VendedorDesde","COMPACONT","VenDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","VendedorHasta","COMPACONT","VenHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"ZZZZZZZZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","MotivoDesde","COMPACONT","MotiDesde",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"MOTIVO",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","MotivoHasta","COMPACONT","MotiHasta",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"MOTIVO",F,"ZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","TransportistaDesde","COMPACONT","TranDesde",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"TRANSPORTISTA",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","TransportistaHasta","COMPACONT","TranHasta",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"TRANSPORTISTA",F,"ZZZZZZZZZZZZZZZ",F,""
"FILTRARCOMPROBANTESACONTROLAR","EntregaPosterior","COMPACONT","EntregaPos",T,"N",1,0,"COMBO",F,"",F,"",F,""
"FILTRARCOMPROBANTESACONTROLAR","Observacion","COMPACONT","Obs",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
