entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"FILTRARCOMPROBANTESAINSERTAR","Codigo","COMPAINS","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"FILTRARCOMPROBANTESAINSERTAR","Descripcion","COMPAINS","Descrip",F,"C",1,0,"DESCRIPCION",F,"",T,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","ClienteDesde","COMPAINS","ClieDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","ClienteHasta","COMPAINS","ClieHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"ZZZZZ",F,""
"FILTRARCOMPROBANTESAINSERTAR","NumeroComprobanteDesde","COMPAINS","NumDesde",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","NumeroComprobanteHasta","COMPAINS","NumHasta",T,"N",8,0,"EtiquetaNumericoDesdeHasta",F,"",F,"99999999",F,""
"FILTRARCOMPROBANTESAINSERTAR","FechaComprobanteDesde","COMPAINS","FeComDesde",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","FechaComprobanteHasta","COMPAINS","FeComHasta",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"FILTRARCOMPROBANTESAINSERTAR","VendedorDesde","COMPAINS","VenDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","VendedorHasta","COMPAINS","VenHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"ZZZZZ",F,""
"FILTRARCOMPROBANTESAINSERTAR","MotivoDesde","COMPAINS","MotiDesde",F,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"MOTIVO",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","MotivoHasta","COMPAINS","MotiHasta",F,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"MOTIVO",F,"ZZZ",F,""
"FILTRARCOMPROBANTESAINSERTAR","TransportistaDesde","COMPAINS","TranDesde",F,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"TRANSPORTISTA",F,"",F,""
"FILTRARCOMPROBANTESAINSERTAR","TransportistaHasta","COMPAINS","TranHasta",F,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"TRANSPORTISTA",F,"ZZZZZZZZZZZZZZZ",F,""
"FILTRARCOMPROBANTESAINSERTAR","Observacion","COMPAINS","Obs",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
