entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"formatoexportacion","Codigo","formatos","codigo",T,"C",40,0,"CODIGO",T,"",F,"",F,""
"formatoexportacion","Descripcion","formatos","descrip",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,""
"formatoexportacion","completarizq","formatos","compizq",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","completarder","formatos","compder",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","Alineacion","formatos","alineacion",T,"C",40,0,"COMBOALINEACION",F,"",F,"= "DEF"",T,""
"formatoexportacion","Capitalizacion","formatos","capitaliz",T,"C",40,0,"COMBOCAPITALIZACION",F,"",F,"= "DEF"",T,""
"formatoexportacion","lltrim","formatos","lltrim",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"formatoexportacion","lrtrim","formatos","lrtrim",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"formatoexportacion","agregarcomillas","formatos","comillas",F,"C",10,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","comienzacon","formatos","comienza",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","TruncarDecimales","formatos","Truncar",T,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"formatoexportacion","Decimales","formatos","CantDeci",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"formatoexportacion","separadordecimal","formatos","sepdec",T,"C",1,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","separadormiles","formatos","secmiles",T,"C",1,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","simboloinicial","formatos","inicial",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","formatofecha","formatos","formfecha",T,"C",20,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","otroformato","formatos","otroform",T,"C",100,0,"DESCRIPCION",F,"",F,"",F,""
"formatoexportacion","Obs","formatos","cObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
