entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRART","Numero","IMPDIRART","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRART","Descripcion","IMPDIRART","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRART","PlanDeCuentas","IMPDIRART","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRART","Importancia","IMPDIRART","Importanci",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRART","DistribucionPorCentroDeCosto","IMPDIRART","DisCCos",T,"C",20,0,"CODIGO",F,"DISTRIBUCIONCENTRODECOSTO",F,"",F,""
"IMPDIRART","CentroDeCosto","IMPDIRART","CCosto",T,"C",20,0,"CODIGO",F,"CENTRODECOSTO",F,"",F,""
"IMPDIRART","PrioridadCCosto","IMPDIRART","ImportancC",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPDIRART","f_Articulo_Desde","IMPDIRART","ArtDesde",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Articulo_Hasta","IMPDIRART","ArtHasta",T,"C",13,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZ",F,""
"IMPDIRART","Comportamiento","IMPDIRART","Comp",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"IMPDIRART","f_Proveedor_Desde","IMPDIRART","ProDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Proveedor_Hasta","IMPDIRART","ProHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPDIRART","f_Temporada_Desde","IMPDIRART","TemDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Temporada_Hasta","IMPDIRART","TemHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPDIRART","f_Anio_Desde","IMPDIRART","AniDesde",T,"C",2,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Anio_Hasta","IMPDIRART","AniHasta",T,"C",2,0,"EtiquetaCaracterDesdeHasta",F,"",F,"99",F,""
"IMPDIRART","f_Familia_Desde","IMPDIRART","FamDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Familia_Hasta","IMPDIRART","FamHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPDIRART","f_Material_Desde","IMPDIRART","MatDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Material_Hasta","IMPDIRART","MatHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPDIRART","f_Linea_Desde","IMPDIRART","LinDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRART","f_Linea_Hasta","IMPDIRART","LinHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPDIRART","f_Grupo_Desde","IMPDIRART","GruDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
