entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPUESTO","Codigo","Impuesto","codigo",T,"C",10,0,"CODIGO",T,"",F,"",T,""
"IMPUESTO","Descripcion","Impuesto","descrip",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPUESTO","Observacion","Impuesto","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"IMPUESTO","Regimen","Impuesto","regimen",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"IMPUESTO","Aplicacion","Impuesto","aplicacion",T,"C",10,0,"COMBOXML",F,"",F,"PRC",T,""
"IMPUESTO","Tipo","Impuesto","tipo",T,"C",10,0,"CODIGO",F,"TIPOIMPUESTO",F,"",T,""
"IMPUESTO","Jurisdiccion","Impuesto","Jurisdicci",T,"C",8,0,"CODIGO",F,"JURISDICCION",F,"",F,""
"IMPUESTO","Resolucion","Impuesto","Resolu",T,"C",60,0,"DESCRIPCION",F,"",F,"",F,""
"IMPUESTO","RegimenImpositivo","Impuesto","RegimenImp",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"IMPUESTO","Escala","Impuesto","escala",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"IMPUESTO","Minimo","Impuesto","minimo",T,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","Monto","Impuesto","monto",T,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","Porcentaje","Impuesto","porcentaje",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","SegunConvenio","Impuesto","Convenio",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"IMPUESTO","ConvenioLocal","Impuesto","ConvLocal",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","ConvenioMultilateral","Impuesto","ConvMulti",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","ConvenioNoInscripto","Impuesto","ConvNoInsc",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","ConvenioMultilExtranaJuris","Impuesto","ConMulExt",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","BaseDeCalculo","Impuesto","basecalc",T,"C",10,0,"COMBOXML",F,"",F,"TOT",F,""
"IMPUESTO","PorcentajeBase","Impuesto","porcbase",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","PagoParcial","Impuesto","pagocta",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"IMPUESTO","EscalaDetalle","EscalaImp","Codigo",T,"C",10,0,"DETALLEITEMESCALA",F,"",F,"",F,""
"IMPUESTO","RG2616Regimen","Impuesto","monoreg",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"IMPUESTO","RG2616Porcentaje","Impuesto","monoporc",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG2616Meses","Impuesto","monomeses",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG2616MontoMaximoServicios","Impuesto","maxserv",T,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG2616MontoMaximoBienes","Impuesto","maxbienes",T,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG1575Regimen","Impuesto","compmreg",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"IMPUESTO","RG1575Porcentaje","Impuesto","compmporc",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG1575BaseDeCalculo","Impuesto","compmbase",T,"C",10,0,"COMBOXMLIMPUESTO",F,"",F,"",F,""
"IMPUESTO","RG1575MontoMinimoRetencion","Impuesto","CompMMin",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","IIBBTucCoeficienteCero","Impuesto","TucCfCero",T,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","IIBBTucReduccionAlicuota","Impuesto","TucRedAlic",T,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","IIBBTucAlicuotaNoInscriptos","Impuesto","TucAlicNI",T,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","RG5329AplicaPorArticulo","Impuesto","AplicaArt",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"IMPUESTO","RG5329Porcentaje","Impuesto","Porcen5329",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"IMPUESTO","IIBBMenAlicuotaNoInscriptos","Impuesto","MenAlicNI",T,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
