entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPVERCC","Numero","IMPVERCC","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPVERCC","Descripcion","IMPVERCC","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPVERCC","CentroDeCosto","IMPVERCC","CCosto",T,"C",20,0,"CODIGO",F,"CENTRODECOSTO",F,"",F,""
"IMPVERCC","DistribucionPorCentroDeCosto","IMPVERCC","DisCCos",T,"C",20,0,"CODIGO",F,"DISTRIBUCIONCENTRODECOSTO",F,"",F,""
"IMPVERCC","ImportanciaCCosto","IMPVERCC","mportancC",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPVERCC","f_Sucursal_Desde","IMPVERCC","SucDesde",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPVERCC","f_Sucursal_Hasta","IMPVERCC","SucHasta",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZ",F,""
"IMPVERCC","f_BaseAgru_Desde","IMPVERCC","BasDesde",T,"C",8,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPVERCC","f_BaseAgru_Hasta","IMPVERCC","BasHasta",T,"C",8,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZ",F,""
"IMPVERCC","f_RazonS_Desde","IMPVERCC","RazDesde",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPVERCC","f_RazonS_Hasta","IMPVERCC","RazHasta",T,"C",10,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZ",F,""
"IMPVERCC","TipoDeAsiento","IMPVERCC","TipoAsi",T,"N",1,0,"COMBOTIPODEASIENTO",F,"",F,"",F,""
"IMPVERCC","Observacion","IMPVERCC","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
