entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"INTERACCIONDEORDEN","anulado","IntOrden","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"INTERACCIONDEORDEN","Codigo","IntOrden","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"INTERACCIONDEORDEN","Descri","IntOrden","Descri",T,"C",250,0,"DESCRIPCION",F,"",T,"",F,""
"INTERACCIONDEORDEN","Vendedor","IntOrden","Vendedor",T,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",T,""
"INTERACCIONDEORDEN","Fecha","IntOrden","Fecha",T,"D",8,0,"FECHA",F,"",F,"=golibrerias.obtenerfecha()",T,""
"INTERACCIONDEORDEN","Hora","IntOrden","Hora",T,"C",8,0,"HORA",F,"",F,"=goservicios.librerias.obtenerHora()",T,""
"INTERACCIONDEORDEN","Orden","IntOrden","Orden",T,"C",20,0,"CODIGO",F,"ORDENDESERVICIO",F,"",T,""
"INTERACCIONDEORDEN","Cliente","IntOrden","Cliente",T,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,"Orden.Cliente"
"INTERACCIONDEORDEN","Articulo","IntOrden","Art",T,"C",13,0,"CODIGO",F,"ARTICULO",F,"",F,"Orden.Articulo"
"INTERACCIONDEORDEN","Estado","IntOrden","Est",T,"C",30,0,"CODIGO",F,"ESTADOSDEINTERACCION",F,"",T,""
"INTERACCIONDEORDEN","TipoDescuento","IntOrden","TipoDesc",T,"C",10,0,"COMBOXML",F,"",F,"",F,""
"INTERACCIONDEORDEN","Valor","IntOrden","Valor",T,"N",10,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"INTERACCIONDEORDEN","Obs","IntOrden","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
