entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMAJUSTECOMPROBANTES","NoProcesarStock","ajCompDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","CodigoDeBarras","","",F,"C",46,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","Equivalencia","ajCompDet","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMAJUSTECOMPROBANTES","Comportamiento","ajCompDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMAJUSTECOMPROBANTES","Codigo","ajCompDet","ajCompCod",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","Comprobante","ajCompDet","ajComprob",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","Articulo","ajCompDet","ajdart",T,"C",13,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMAJUSTECOMPROBANTES","ArticuloDetalle","ajCompDet","ajdADesc",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMAJUSTECOMPROBANTES","Color","ajCompDet","ajdColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMAJUSTECOMPROBANTES","ColorDetalle","ajCompDet","ajdCDesc",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.descripcion"
"ITEMAJUSTECOMPROBANTES","Talle","ajCompDet","ajdTalle",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","StockAct","ajCompDet","ajdstock",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","StockProy","ajCompDet","ajdstocksi",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTECOMPROBANTES","Cantidad","ajCompDet","ajdCant",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
