entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMAJUSTEDESTOCK","codigo","ajustockDet","ajdCodigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMAJUSTEDESTOCK","NoProcesarStock","ajustockDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMAJUSTEDESTOCK","CodigoDeBarras","","",F,"C",37,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTEDESTOCK","Equivalencia","ajustockDet","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMAJUSTEDESTOCK","Comportamiento","ajustockDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMAJUSTEDESTOCK","Articulo","ajustockDet","ajdart",T,"C",13,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMAJUSTEDESTOCK","ArticuloDetalle","ajustockDet","ajdADesc",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMAJUSTEDESTOCK","Color","ajustockDet","ajdColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMAJUSTEDESTOCK","ColorDetalle","ajustockDet","ajdCDesc",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.descripcion"
"ITEMAJUSTEDESTOCK","Talle","ajustockDet","ajdTalle",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTEDESTOCK","StockAct","ajustockDet","ajdstock",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTEDESTOCK","StockProy","ajustockDet","ajdstocksi",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTEDESTOCK","Cantidad","ajustockDet","ajdCant",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
