entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSCANCOMPRA","Articulo","CANCOMPRADET","FART",T,"C",13,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSCANCOMPRA","Codigo","CANCOMPRADET","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","MontoPorcentajeDescuentoConImpuesto","CANCOMPRADET","FCFITot",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","Impuestos","CANCOMPRADET","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","Kit","CANCOMPRADET","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","Material","CANCOMPRADET","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSCANCOMPRA","MontoCFI","CANCOMPRADET","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","MontoDTO1","CANCOMPRADET","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","MontoIVA","CANCOMPRADET","FmtoIVA",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","Neto","CANCOMPRADET","FNETO",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","NroItem","CANCOMPRADET","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","Oferta","CANCOMPRADET","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSCANCOMPRA","PorcentajeCFI","CANCOMPRADET","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
