entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSPRECOMPRA","Articulo","PreCompraDet","FART",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSPRECOMPRA","Codigo","PreCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","MontoPorcentajeDescuentoConImpuesto","PRECOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","Impuestos","PreCompraDet","",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","Kit","PreCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","Material","PreCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSPRECOMPRA","MontoCFI","PreCompraDet","FmtoCFI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","MontoDTO1","PreCompraDet","FmtoDTO1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","MontoIVA","PRECOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","Neto","PRECOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","NroItem","PreCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","Oferta","PreCompraDet","FX2",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PorcentajeCFI","PreCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PorcentajeDTO1","PreCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PorcentajeIVA","PreCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PrecioConImpuestos","PRECOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PrecioDeLista","PreCompraDet","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PrecioSinImpuestos","PRECOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPRECOMPRA","PrecioUnitario","PreCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
