entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSREQCOMPRA","Articulo","ReqCompraDet","FART",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSREQCOMPRA","Codigo","ReqCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoPorcentajeDescuentoConImpuesto","REQCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Impuestos","ReqCompraDet","",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Kit","ReqCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Material","ReqCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSREQCOMPRA","MontoCFI","ReqCompraDet","FmtoCFI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoDTO1","ReqCompraDet","FmtoDTO1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoIVA","REQCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Neto","REQCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","NroItem","ReqCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Oferta","ReqCompraDet","FX2",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeCFI","ReqCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeDTO1","ReqCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeIVA","ReqCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioConImpuestos","REQCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioDeLista","ReqCompraDet","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioSinImpuestos","REQCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioUnitario","ReqCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","TipoListaDePrecio","ReqCompraDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Unidad","ReqCompraDet","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSREQCOMPRA","idItem","ReqCompraDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","idOrigen","ReqCompraDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","CodigoOrigen","ReqCompraDet","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_NroItem","ReqCompraDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_TipoComprobante","ReqCompraDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Letra","ReqCompraDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_PuntoDeVenta","ReqCompraDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Numero","ReqCompraDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Cantidad","ReqCompraDet","AfeCANT",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Saldo","ReqCompraDet","AfeSaldo",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_CantidadOriginal","ReqCompraDet","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_SaldoActual","ReqCompraDet","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_SaldoOriginal","ReqCompraDet","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Articulo_CondicionIvaCompras","ReqCompraDet","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Articulo_PorcentajeIvaCompras","ReqCompraDet","APorcIvaC",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","NoProcesarStock","ReqCompraDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_timeStamp","ReqCompraDet","AfeTS",F,"N",20,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","CodigoDeBarras","","",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Equivalencia","ReqCompraDet","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoRecargoConImpuestos","ReqCompraDet","MNTPRECCI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoTotal","ReqCompraDet","MNTPTOT",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoPercepciones","ReqCompraDet","MNTPPER",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoDescuentoConImpuestos","ReqCompraDet","MNTPDESCI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoRecargoSinImpuestos","ReqCompraDet","MNTPRECSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoDescuentoSinImpuestos","ReqCompraDet","MNTPDESSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoPorcentajeDescuentoSinImpuesto","REQCOMPRADET","MNPDSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoDescuentoConImpuestos","REQCOMPRADET","MNDESCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoDescuentoSinImpuestos","REQCOMPRADET","MNDESSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Codigo","ReqCompraDet","afe_Cod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","UsarPrecioDeLista","REQCOMPRADET","UsarPLista",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSREQCOMPRA","Bruto","REQCOMPRADET","FBruto",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","AjustePorRedondeoConImpuestos","REQCOMPRADET","AjuCImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","AjustePorRedondeoSinImpuestos","REQCOMPRADET","AjuSImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","FueAutorizadoDevolucion","","",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSREQCOMPRA","IdItemArticulos","REQCOMPRADET","IdItem",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Comportamiento","REQCOMPRADET","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMARTICULOSREQCOMPRA","EsLibre","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PercepcionIvaRG5329","REQCOMPRADET","ArtPercep",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.PercepcionIvaRG5329"
"ITEMARTICULOSREQCOMPRA","ArticuloDetalle","ReqCompraDet","FTXT",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMARTICULOSREQCOMPRA","Color","ReqCompraDet","FCOLO",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMARTICULOSREQCOMPRA","ColorDetalle","ReqCompraDet","FCOTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Talle","ReqCompraDet","FTALL",T,"C",3,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Descuento","ReqCompraDet","FCFI",F,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Cantidad","ReqCompraDet","FCANT",T,"N",8,2,"NUMERICODECIMALPARAMETRIZADOCO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoDescuento","ReqCompraDet","MNTDES",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoProrrateoIVA","ReqCompraDet","MNTPIVA",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","IDSeniaCancelada","ReqCompraDet","seniacance",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Precio","ReqCompraDet","FPRECIO",T,"N",14,4,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Monto","ReqCompraDet","FMONTO",T,"N",8,2,"NUMERICO",F,"",F,"",F,""
