entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCAMPOPERSONALIZADO","codigo","DETCAMTROPER","codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","Identificador","DETCAMTROPER","Identifica",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","idCampo","DETCAMTROPER","idCampo",T,"N",8,0,"NUMERICO",F,"",F,"",T,""
"ITEMCAMPOPERSONALIZADO","EtiquetaReporte","DETCAMTROPER","Etiqueta",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","LongitudReporte","DETCAMTROPER","Longitud",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","DecimalesReporte","DETCAMTROPER","Decimales",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","MostrarCeros","DETCAMTROPER","Mceros",T,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","GrupoVisual","DETCAMTROPER","GrupoV",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","Expresion","DETCAMTROPER","Expresion",F,"C",225,0,"CARACTER",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","ExpresionNueva","DETCAMTROPER","ExpresionN",T,"G",38,0,"CODIGO",F,"EXPRESIONLISTADOPERSONALIZADO",F,"",F,""
"ITEMCAMPOPERSONALIZADO","TipoCalculo","DETCAMTROPER","Calculo",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","nOrden","DETCAMTROPER","nOrden",T,"N",12,0,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","activado","DETCAMTROPER","activado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","LineaVertical","DETCAMTROPER","LVertical",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","PuedeCrecer","DETCAMTROPER","PCrecer",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","OcultaRepetido","DETCAMTROPER","ORepetido",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","TamañoOriginalImagen","DETCAMTROPER","MImagen",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","AnchoImagen","DETCAMTROPER","WImagen",T,"N",4,2,"NUMERICO",F,"",F,"",F,""
"ITEMCAMPOPERSONALIZADO","AltoImagen","DETCAMTROPER","HImagen",T,"N",4,2,"NUMERICO",F,"",F,"",F,""
