entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCHEQUEHISTORIAL","Codigo","CHEQUEHIST","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","IdentificadorEntidadComprobante","CHEQUEHIST","IdentifEnt",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","CodigoComprobante","CHEQUEHIST","CodigoComp",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Cliente","CHEQUEHIST","Cliente",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","ClienteDescripcion","CHEQUEHIST","ClienteDes",F,"C",185,0,"DESCRIPCION",F,"",T,"",F,"Cliente.Nombre"
"ITEMCHEQUEHISTORIAL","Proveedor","CHEQUEHIST","Proveedor",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","ProveedorDescripcion","CHEQUEHIST","ProveedDes",F,"C",60,0,"DESCRIPCION",F,"",F,"",F,"Proveedor.Nombre"
"ITEMCHEQUEHISTORIAL","CuentaBancaria","CHEQUEHIST","CtaBanc",F,"C",5,0,"CODIGO",F,"CUENTABANCARIA",F,"",F,""
"ITEMCHEQUEHISTORIAL","CuentaBancariaDescripcion","CHEQUEHIST","CtaBancDes",F,"C",40,0,"DESCRIPCION",F,"",F,"",F,"CuentaBancaria.Nombre"
"ITEMCHEQUEHISTORIAL","Vendedor","CHEQUEHIST","Vendedor",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","VendedorDescripcion","CHEQUEHIST","VendedDes",F,"C",60,0,"DESCRIPCION",F,"",F,"",F,"Vendedor.Nombre"
"ITEMCHEQUEHISTORIAL","Serie","CHEQUEHIST","cSerie",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Version","CHEQUEHIST","cVersion",F,"C",13,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","DestinoDeDescarga","CHEQUEHIST","DestDesc",F,"C",10,0,"CODIGO",F,"DESTINODESCARGACHEQUES",F,"",F,""
"ITEMCHEQUEHISTORIAL","DestinoDeDescargaDescripcion","CHEQUEHIST","DestDescDe",F,"C",40,0,"DESCRIPCION",F,"",T,"",F,"DestinoDescargaCheques.Descripcion"
"ITEMCHEQUEHISTORIAL","Fecha","CHEQUEHIST","Fecha",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Hora","CHEQUEHIST","Hora",T,"C",8,0,"HORA",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","TipoDeComprobante","CHEQUEHIST","TipoComp",F,"N",2,0,"COMBOTIPOCOMPROBANTEMASRECIBO",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Comprobante","CHEQUEHIST","Comprob",T,"C",25,0,"LINKCOMPROBANTECHEQUES",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Concepto","CHEQUEHIST","Concepto",T,"C",10,0,"CODIGO",F,"CONCEPTOCAJA",F,"",F,""
"ITEMCHEQUEHISTORIAL","ConceptoDetalle","CHEQUEHIST","ConceptDes",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Concepto.Descripcion"
"ITEMCHEQUEHISTORIAL","Tipo","CHEQUEHIST","Tipo",T,"N",1,0,"ENTRADASALIDA",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","CajaEstado","CHEQUEHIST","idCaja",T,"N",2,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","CajaEstadoDetalle","CHEQUEHIST","CajaDesc",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","BaseDeOrigen","CHEQUEHIST","BaseOrigen",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"ITEMCHEQUEHISTORIAL","Estado","CHEQUEHIST","Estado",T,"C",5,0,"COMBOSERVICIOCHEQUE",F,"",F,"",F,""
