entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"itemcomprobante","Codigo","CompAfe","Codigo",F,"C",38,0,"NUMERICO",T,"",F,"",F,""
"itemcomprobante","TipoComprobante","CompAfe","AfeTipoCom",F,"N",2,0,"CARACTER",F,"",F,"",T,""
"itemcomprobante","TipoCompCaracter","CompAfe","AfeComprob",T,"C",100,0,"LINKCOMPROBANTE",F,"",F,"",T,""
"itemcomprobante","Letra","CompAfe","AfeLETRA",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"itemcomprobante","PuntoDeVenta","CompAfe","AfePTOVEN",F,"N",4,0,"NUMERICO",F,"",F,"",T,""
"itemcomprobante","Numero","CompAfe","AfeNUMCOM",F,"N",8,0,"NUMERICO",F,"",F,"",T,""
"itemcomprobante","Fecha","CompAfe","afefecha",T,"D",8,0,"FECHA",F,"",F,"",T,""
"itemcomprobante","Total","CompAfe","afetotal",T,"N",9,2,"NUMERICO",F,"",F,"",F,""
"itemcomprobante","Vendedor","CompAfe","afevend",F,"C",4,0,"CARACTER",F,"",F,"",F,""
"itemcomprobante","Tipo","CompAfe","afetipo",T,"C",15,0,"CARACTER",F,"",T,"",T,""
"itemcomprobante","Afecta","CompAfe","Afecta",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"itemcomprobante","Interviniente","CompAfe","DescInter",T,"C",50,0,"LINKCOMPROBANTEINTERVINIENTE",F,"",F,"",F,""
"itemcomprobante","NombreEntidad","CompAfe","NomInter",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"itemcomprobante","CodigoEntidad","CompAfe","CodInter",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMCOMPROBANTE","Origen","CompAfe","Origen",T,"C",10,0,"CARACTER",F,"",F,"",F,""
