entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMDATOSFISCALES","Codigo","DatosFiscalDet","CodRela",F,"C",8,0,"CODIGO",T,"",F,"",F,""
"ITEMDATOSFISCALES","Impuesto","DatosFiscalDet","Impuesto",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",T,""
"ITEMDATOSFISCALES","Aplicacion","","",T,"C",10,0,"COMBOXMLIMPUESTO",F,"",F,"",F,"Impuesto.Aplicacion"
"ITEMDATOSFISCALES","Tipo","","",T,"C",10,0,"COMBOTABLA",F,"TIPOIMPUESTO",F,"",F,"Impuesto.Tipo"
"ITEMDATOSFISCALES","Jurisdiccion","","",T,"C",8,0,"CARACTER",F,"",T,"",F,"Impuesto.Jurisdiccion_pk"
"ITEMDATOSFISCALES","Resolucion","","",T,"C",60,0,"DESCRIPCION",F,"",F,"",F,"Impuesto.Resolucion"
"ITEMDATOSFISCALES","RegimenImpositivo","","",T,"C",5,0,"CARACTER",F,"",F,"",F,"Impuesto.RegimenImpositivo_pk"
"ITEMDATOSFISCALES","MinimoNoImponible","","",T,"N",12,2,"NUMERICO",F,"",T,"",F,"Impuesto.Monto"
"ITEMDATOSFISCALES","MinimoDeRetencion","","",T,"N",12,2,"NUMERICO",F,"",F,"",F,"Impuesto.Minimo"
"ITEMDATOSFISCALES","codigointerno","DatosFiscalDet","codunico",F,"C",38,0,"CARACTER",F,"",F,"=goServicios.librerias.obtenerguidpk()",F,""
"ITEMDATOSFISCALES","Porcentaje","","",F,"N",6,2,"NUMERICO",F,"",T,"",F,"Impuesto.Porcentaje"
"ITEMDATOSFISCALES","RG2616Porcentaje","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG2616Porcentaje"
"ITEMDATOSFISCALES","RG2616Regimen","","",F,"C",5,0,"CARACTER",F,"",F,"",F,"Impuesto.RG2616Regimen_pk"
"ITEMDATOSFISCALES","RG2616Meses","","",F,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG2616Meses"
"ITEMDATOSFISCALES","RG2616MontoMaximoServicios","","",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG2616MontoMaximoServicios"
"ITEMDATOSFISCALES","RG2616MontoMaximoBienes","","",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG2616MontoMaximoBienes"
"ITEMDATOSFISCALES","BaseDeCalculo","","",F,"C",10,0,"COMBOXMLIMPUESTO",F,"",F,"",F,"Impuesto.BaseDeCalculo"
"ITEMDATOSFISCALES","RG1575Regimen","","",F,"C",5,0,"CARACTER",F,"",F,"",F,"Impuesto.RG1575Regimen_pk"
"ITEMDATOSFISCALES","RG1575Porcentaje","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG1575Porcentaje"
"ITEMDATOSFISCALES","RG1575BaseDeCalculo","","",F,"C",10,0,"COMBOXMLIMPUESTO",F,"",F,"",F,"Impuesto.RG1575BaseDeCalculo"
"ITEMDATOSFISCALES","Escala","","",T,"L",1,0,"SINOBOOL",F,"",F,"",F,"Impuesto.Escala"
"ITEMDATOSFISCALES","SegunConvenio","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Impuesto.SegunConvenio"
"ITEMDATOSFISCALES","ConvenioLocal","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.ConvenioLocal"
"ITEMDATOSFISCALES","ConvenioMultilateral","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.ConvenioMultilateral"
"ITEMDATOSFISCALES","ConvenioMultilExtranaJuris","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.ConvenioMultilateral"
"ITEMDATOSFISCALES","ConvenioNoInscripto","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.ConvenioNoInscripto"
"ITEMDATOSFISCALES","IIBBTucCoeficienteCero","","",F,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.IIBBTucCoeficienteCero"
"ITEMDATOSFISCALES","Regimen","","",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Impuesto.Regimen"
"ITEMDATOSFISCALES","IIBBTucReduccionAlicuota","","",F,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.IIBBTucReduccionAlicuota"
"ITEMDATOSFISCALES","IIBBTucAlicuotaNoInscriptos","","",F,"N",7,3,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.IIBBTucAlicuotaNoInscriptos"
"ITEMDATOSFISCALES","RG5329AplicaPorArticulo","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Impuesto.RG5329AplicaPorArticulo"
"ITEMDATOSFISCALES","RG5329Porcentaje","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG5329Porcentaje"
