entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Itemdescargacheque","Codigo","DETDESCCHEQUE","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"Itemdescargacheque","Tipo","DETDESCCHEQUE","JJT",F,"N",2,0,"NUMERICO",F,"",F,"=4",F,""
"Itemdescargacheque","Valor_PK","","",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"Itemdescargacheque","PesosAlCambio","DETDESCCHEQUE","Pesos",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"Itemdescargacheque","NumeroCheque","DETDESCCHEQUE","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"Itemdescargacheque","NumeroInterno","DETDESCCHEQUE","NroInterno",T,"C",15,0,"CARACTER",F,"",F,"",T,""
"Itemdescargacheque","IdItemComponente","DETDESCCHEQUE","guidComp",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"Itemdescargacheque","EntidadFinanciera","DETDESCCHEQUE","EntFin",T,"C",5,0,"CODIGO",F,"ENTIDADFINANCIERA",F,"",F,""
"Itemdescargacheque","EntidadFinancieraDetalle","DETDESCCHEQUE","EFDet",T,"C",40,0,"CARACTER",F,"",T,"",F,"EntidadFinanciera.Descripcion"
"Itemdescargacheque","Numero","DETDESCCHEQUE","cNumero",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"Itemdescargacheque","FechaEmision","DETDESCCHEQUE","cFechaEmi",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"Itemdescargacheque","FechaPago","DETDESCCHEQUE","cFechaPago",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"Itemdescargacheque","CodigoTributarioLibrador","DETDESCCHEQUE","cCoTribGir",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"Itemdescargacheque","Cliente","DETDESCCHEQUE","Cliente",T,"C",5,0,"CODIGO",F,"CLIENTE",F,"",F,""
"Itemdescargacheque","ClienteDetalle","DETDESCCHEQUE","FCLIENTE",T,"C",30,0,"CARACTER",F,"",T,"",F,"Cliente.Nombre"
"Itemdescargacheque","Monto","DETDESCCHEQUE","cMonto",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
