entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMIMPUESTOORDENDEPAGO","Codigo","ImpODP","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","PorcentajeConvenio","","",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","MontoBase","","",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","PorcentajeBase","","",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Porcentaje","","",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Tooltip","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","TipoImpuestoCDR","ImpODP","TipoImp",F,"C",10,0,"CARACTER",F,"",F,"",F,"CodImp.Tipo.Codigo"
"ITEMIMPUESTOORDENDEPAGO","CodigoCDR","ImpODP","CodigoCDR",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","AcumuladoPagos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","AcumuladoRetenciones","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","EscalaMontoFijo","","",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","EscalaPorcentaje","","",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","EscalaSobreExcedente","","",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","MinimoNoImp","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Jurisdiccion","","",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","JurisdiccionDescripcion","","",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Resolucion","","",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","MinimoNoImponible","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","BaseDeCalculo","","",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","RegimenImpositivo","","",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Escala","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Minimo","","",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","RegimenImpositivoDescripcion","","",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","esRG2616AR","","",F,"L",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","AcumuladoComprobante","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","esRG1575AR","","",F,"L",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","CertificadoSIRE","","",F,"C",25,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","CodSeguridadSIRE","","",F,"C",4,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","CodImp","ImpODP","CodImp",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",T,""
"ITEMIMPUESTOORDENDEPAGO","CodImpDetalle","ImpODP","Descri",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","Monto","ImpODP","Monto",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOORDENDEPAGO","ConvenioMultilateral","","",F,"C",6,0,"CARACTER",F,"",F,"",F,""
