entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMKITS","Articulo","KITDET","FART",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMKITS","Codigo","KITDET","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMKITS","MontoPorcentajeDescuentoConImpuesto","KITDET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Impuestos","","",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Kit","KITDET","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoCFI","KITDET","FmtoCFI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoDTO1","KITDET","FmtoDTO1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoIVA","KITDET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Neto","KITDET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","NroItem","KITDET","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Oferta","KITDET","FX2",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PorcentajeCFI","KITDET","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PorcentajeDTO1","KITDET","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PorcentajeIVA","KITDET","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PrecioConImpuestos","KITDET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PrecioDeLista","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PrecioSinImpuestos","KITDET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","PrecioUnitario","KITDET","FPRUN",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","TipoListaDePrecio","KITDET","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Unidad","KITDET","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMKITS","idItem","KITDET","ciditem",F,"A",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","idOrigen","KITDET","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","CodigoOrigen","","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Afe_NroItem","KITDET","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Afe_TipoComprobante","KITDET","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Afe_Letra","KITDET","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMKITS","Afe_PuntoDeVenta","KITDET","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMKITS","Afe_Numero","KITDET","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMKITS","Afe_Cantidad","KITDET","AfeCANT",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Afe_Saldo","KITDET","AfeSaldo",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","afe_CantidadOriginal","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","afe_SaldoActual","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","afe_SaldoOriginal","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Articulo_CondicionIvaVentas","KITDET","ACondIvaV",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","Articulo_PorcentajeIvaVentas","KITDET","APorcIvaV",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","NoProcesarStock","KITDET","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMKITS","Afe_timeStamp","KITDET","AfeTS",F,"N",20,0,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","CodigoDeBarras","","",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"ITEMKITS","Equivalencia","KITDET","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMKITS","MontoProrrateoRecargoConImpuestos","KITDET","MNTPRECCI",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoProrrateoTotal","KITDET","MNTPTOT",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoProrrateoPercepciones","KITDET","MNTPPER",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoProrrateoDescuentoConImpuestos","KITDET","MNTPDESCI",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoProrrateoRecargoSinImpuestos","KITDET","MNTPRECSI",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoProrrateoDescuentoSinImpuestos","KITDET","MNTPDESSI",F,"N",10,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoPorcentajeDescuentoSinImpuesto","KITDET","MNPDSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMKITS","MontoDescuentoConImpuestos","KITDET","MNDESCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
