entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Itemmercentransito","Codigo","DETMTRANS","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"Itemmercentransito","NoProcesarStock","DETMTRANS","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"Itemmercentransito","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"Itemmercentransito","Equivalencia","DETMTRANS","Equiv",F,"C",14,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMMERCENTRANSITO","IdItemArticulos","DETMTRANS","IdItem",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"ITEMMERCENTRANSITO","PorcentajeIVA","DETMTRANS","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"Itemmercentransito","Articulo","DETMTRANS","MART",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"Itemmercentransito","ArticuloDetalle","DETMTRANS","DESCRIP",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"Itemmercentransito","Color","DETMTRANS","cColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"Itemmercentransito","ColorDetalle","DETMTRANS","COLTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"Itemmercentransito","Talle","DETMTRANS","Talle",T,"C",3,0,"DESCRIPCION",F,"",F,"",F,""
"Itemmercentransito","Cantidad","DETMTRANS","CANTI",T,"N",8,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
"Itemmercentransito","Precio","DETMTRANS","FPRECIO",F,"N",12,2,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"Itemmercentransito","Descuento","DETMTRANS","FCFI",F,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"Itemmercentransito","MontoDescuento","DETMTRANS","MNTDES",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
