entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMODCOSTOPROD","Codigo","MODCOSTPROD","CODIGO",F,"C",20,0,"CARACTER",T,"",F,"",F,""
"ITEMMODCOSTOPROD","Semielaborado","MODCOSTPROD","SemiElab",T,"C",23,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMMODCOSTOPROD","SemielaboradoDetalle","MODCOSTPROD","SemiDeta",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMMODCOSTOPROD","Color","MODCOSTPROD","codColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODCOSTOPROD","ColorDetalle","MODCOSTPROD","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMMODCOSTOPROD","Proceso","MODCOSTPROD","Proceso",T,"C",10,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",F,""
"ITEMMODCOSTOPROD","ProcesoDetalle","MODCOSTPROD","ProcDeta",T,"C",100,0,"DESCRIPCION",F,"",F,"",F,"Proceso.Descripcion"
"ITEMMODCOSTOPROD","Taller","MODCOSTPROD","Taller",T,"C",10,0,"CODIGO",F,"TALLER",F,"",F,""
"ITEMMODCOSTOPROD","TallerDetalle","MODCOSTPROD","TallerDeta",T,"C",254,0,"DESCRIPCION",F,"",T,"",F,"Taller.Descripcion"
"ITEMMODCOSTOPROD","DesdeCantidad","MODCOSTPROD","Cantidad",T,"N",7,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMMODCOSTOPROD","ListaDeCosto","MODCOSTPROD","CodLisCost",T,"C",6,0,"CODIGO",F,"LISTADECOSTOSDEPRODUCCION",F,"",F,""
"ITEMMODCOSTOPROD","CostoDeLista","MODCOSTPROD","CostoVig",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMMODCOSTOPROD","CostoActualizado","MODCOSTPROD","CostoNue",T,"N",12,2,"PRECIONONEGATIVO",F,"",F,"",F,""
