entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMODIFICACIONPRECIOS","Codigo","MODIPRECDET","CODIGO",F,"C",20,0,"CODIGONUMERICO",T,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","Equivalencia","MODIPRECDET","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMMODIFICACIONPRECIOS","Comportamiento","MODIPRECDET","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMODIFICACIONPRECIOS","Articulo","MODIPRECDET","CodArt",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMMODIFICACIONPRECIOS","ArticuloDetalle","MODIPRECDET","DescArt",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMMODIFICACIONPRECIOS","Color","MODIPRECDET","CodCol",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODIFICACIONPRECIOS","ColorDetalle","MODIPRECDET","DescCol",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"color.descripcion"
"ITEMMODIFICACIONPRECIOS","Talle","MODIPRECDET","CodTal",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","ListaDePrecio","MODIPRECDET","CodLisPr",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"",F,""
"ITEMMODIFICACIONPRECIOS","PrecioDeLista","MODIPRECDET","CodPreLis",T,"N",8,2,"PRECIONONEGATIVO",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","PrecioAct","MODIPRECDET","CodPreAct",T,"N",8,2,"PRECIONONEGATIVO",F,"",F,"",F,""
"ITEMMODIFICACIONPRECIOS","TimestampAlta","MODIPRECDET","TimestampA",F,"N",14,0,"NUMERICO",F,"",F,"",F,""
