entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMOVSTOCK","Articulo","DETMSTOCK","MART",T,"C",13,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMMOVSTOCK","Codigo","DETMSTOCK","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMMOVSTOCK","NoProcesarStock","DETMSTOCK","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMMOVSTOCK","CodigoDeBarras","","",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"ITEMMOVSTOCK","Equivalencia","DETMSTOCK","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMMOVSTOCK","Comportamiento","DETMSTOCK","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMOVSTOCK","IdItemArticulos","","",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMMOVSTOCK","ArticuloDetalle","DETMSTOCK","DESCRIP",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMMOVSTOCK","Color","DETMSTOCK","MCOLO",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMOVSTOCK","ColorDetalle","DETMSTOCK","MDES",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMMOVSTOCK","Talle","DETMSTOCK","MTALL",T,"C",3,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMMOVSTOCK","Cantidad","DETMSTOCK","CANTI",T,"N",8,2,"NUMERICO",F,"",F,"goParametros.Felino.Sugerencias.CantidadSugeridaParaArticulosEnMovimientoDeStock",F,""
