entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMOKPICKING","Codigo","DetOkPicking","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMOKPICKING","Articulo","DetOkPicking","OPArticulo",T,"C",13,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMOKPICKING","NoProcesarStock","DetOkPicking","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOKPICKING","CodigoDeBarras","","",F,"C",30,0,"CARACTER",F,"",F,"",F,""
"ITEMOKPICKING","Equivalencia","DetOkPicking","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMOKPICKING","Agregado","DetOkPicking","Agregado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMOKPICKING","Comportamiento","DetOkPicking","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMOKPICKING","IdItemArticulos","","",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMOKPICKING","ArticuloDetalle","DetOkPicking","OPDescArt",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMOKPICKING","Color","DetOkPicking","OPColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMOKPICKING","ColorDetalle","DetOkPicking","OPDescColo",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMOKPICKING","Talle","DetOkPicking","OPTalle",T,"C",3,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMOKPICKING","Cantidad","DetOkPicking","OPCantidad",T,"N",8,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
"ITEMOKPICKING","Afe_saldo","DetOkPicking","AfeSaldo",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
