entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMORDENDEPAGO","Fecha","OrdPagoDet","Fecha",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMORDENDEPAGO","Codigo","OrdPagoDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMORDENDEPAGO","Letra","OrdPagoDet","LetraAfec",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMORDENDEPAGO","PuntoDeVenta","OrdPagoDet","PtoAfec",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","NumeroDeComprobante","OrdPagoDet","Numafec",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","TipoDeComprobante","OrdPagoDet","Tipo",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"ITEMORDENDEPAGO","Valor","OrdPagoDet","RVal",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"ITEMORDENDEPAGO","Tipo","OrdPagoDet","Rtipo",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMORDENDEPAGO","EsPagoACuenta","OrdPagoDet","lPagoACta",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMORDENDEPAGO","CodigoComprobante","OrdPagoDet","CodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMORDENDEPAGO","RecargoSinPercepciones","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","Caja","OrdPagoDet","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMORDENDEPAGO","TotalComprobanteConImpuestos","OrdPagoDet","TotComCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","TotalComprobanteSinImpuestos","OrdPagoDet","TotComSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","TotalComprobanteGravado","OrdPagoDet","TotComGRAV",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","TotalComprobanteIva","OrdPagoDet","TotComIVA",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","CuentaParaImpresion","","",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","Emision","OrdPagoDet","FecEmi",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMORDENDEPAGO","Vencimiento","OrdPagoDet","RFecVen",T,"D",8,0,"FECHA",F,"",F,"",T,""
"ITEMORDENDEPAGO","Descripcion","OrdPagoDet","Descrip",T,"C",100,0,"CARACTER",F,"",T,"",F,""
"ITEMORDENDEPAGO","SaldoAux","OrdPagoDet","SaldoAux",T,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMORDENDEPAGO","Monto","OrdPagoDet","RMonto",T,"N",16,2,"NUMERICOCARGASALDO",F,"",F,"",F,""
"ITEMORDENDEPAGO","Anotacion","OrdPagoDet","anotacion",T,"C",100,0,"OBSERVACION",F,"",T,"",F,""
