entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORES","Codigo","VAL","JJNUM",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMVALORES","Cotiza","VAL","JJCotiz",F,"N",16,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","FechaComp","VAL","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORES","Letra","VAL","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","NroDocumento","VAL","NroDoc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","NroItem","VAL","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","NumeroCheque","VAL","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORES","NumeroCupon","VAL","NroCupon",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","NumeroTarjeta","VAL","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","NumerodeComprobante","VAL","NumCompr",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","PesosAlCambio","VAL","Pesos",F,"N",9,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","PuntoDeVenta","VAL","PtoVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","Signo","VAL","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","Tipo","VAL","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORES","TipoDocumento","VAL","TipoDoc",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","TipodeComprobante","VAL","TIPCOMP",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","Turno","VAL","JJTurno",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","Valor","VAL","JJCO",T,"C",5,0,"CODIGOVALOR",F,"VALOR",F,"",T,""
"ITEMVALORES","Vendedor","VAL","JJVen",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORES","FechaUltCotizacion","VAL","FechCoti",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORES","UltimaCotizacion","VAL","Cotiza",F,"N",16,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORES","Caja","VAL","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMVALORES","PersonalizarComprobante","VAL","PersComp",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Valor.PersonalizarComprobante"
"ITEMVALORES","CondicionRecargo","","",F,"N",1,0,"NUMERICO",F,"",F,"=2",F,""
"ITEMVALORES","NumeroChequePropio","VAL","NroChProp",F,"G",38,0,"CODIGO",F,"CHEQUEPROPIO",F,"",F,""
