entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORESAENT","Codigo","CanjeCuponesEnt","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMVALORESAENT","Valor","CanjeCuponesEnt","JJCO",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"ITEMVALORESAENT","Tipo","CanjeCuponesEnt","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORESAENT","Caja","CanjeCuponesEnt","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMVALORESAENT","UltimaCotizacion","CanjeCuponesEnt","Cotiza",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","FechaUltCotizacion","CanjeCuponesEnt","FechCoti",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESAENT","Cotiza","CanjeCuponesEnt","JJCotiz",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","FechaComp","CanjeCuponesEnt","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESAENT","NumeroCheque","CanjeCuponesEnt","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORESAENT","NumeroCupon","CanjeCuponesEnt","NroCupon",F,"N",12,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","NumeroTarjeta","CanjeCuponesEnt","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","NumeroChequePropio","CanjeCuponesEnt","NroChProp",F,"G",38,0,"CODIGO",F,"CHEQUEPROPIO",F,"",F,""
"ITEMVALORESAENT","SignodeMovimiento","CanjeCuponesEnt","Signo",F,"N",2,0,"NUMERICO",F,"",F,"1",F,""
"ITEMVALORESAENT","AutorizacionPOS","CanjeCuponesEnt","Autorizado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMVALORESAENT","VisualizarEnEstadoDeCaja","CanjeCuponesEnt","VisualCaja",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Valor.VisualizarEnCaja"
"ITEMVALORESAENT","ChequeElectronico","CanjeCuponesEnt","CElectro",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMVALORESAENT","ValorDetalle","CanjeCuponesEnt","JJDE",T,"C",30,0,"CARACTER",F,"",T,"",F,"Valor.Descripcion"
"ITEMVALORESAENT","Fecha","CanjeCuponesEnt","JJFE",T,"D",8,0,"FECHA",F,"",F,"=This.oEntidad.Fecha",F,""
"ITEMVALORESAENT","NumeroInterno","CanjeCuponesEnt","NroInterno",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","TipoComprobante","CanjeCuponesEnt","TipComp",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","ComprobanteOrigen","","",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","Monto","CanjeCuponesEnt","JJM",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","Total","CanjeCuponesEnt","JJTotFac",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","PesosAlCambio","CanjeCuponesEnt","Pesos",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","MontoAMonedaSistema","CanjeCuponesEnt","Montosiste",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","MontoCupon","CanjeCuponesEnt","MonCupon",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESAENT","Cupon","CanjeCuponesEnt","Cupon",F,"G",38,0,"CODIGO",F,"CUPON",F,"",F,""
"ITEMVALORESAENT","CodigoDeCupon","CanjeCuponesEnt","guidCupon",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","IdItemComponente","CanjeCuponesEnt","guidComp",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESAENT","CuponTipo","CanjeCuponesEnt","tipo",F,"C",2,0,"COMBOTIPOCUPON",F,"",F,"",F,"Cupon.TipoCupon"
"ITEMVALORESAENT","Hora","CanjeCuponesEnt","Hora",F,"C",5,0,"HORA",F,"",F,"",F,"Cupon.HoraCupon"
"ITEMVALORESAENT","LetraComprobante","CanjeCuponesEnt","Letra",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,"Cupon.LetraComprobante"
"ITEMVALORESAENT","PuntoDeVentaComprobante","CanjeCuponesEnt","PtoVen",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,"Cupon.PuntoDeVentaComprobante"
"ITEMVALORESAENT","NroComprobante","CanjeCuponesEnt","NumCompr",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMVALORESAENT","FechaComprobante","CanjeCuponesEnt","FechaComp",F,"D",8,0,"FECHA",F,"",F,"",F,"Cupon.FechaComprobante"
"ITEMVALORESAENT","BaseDeDatosOrigen","CanjeCuponesEnt","BaseDatos",F,"C",8,0,"CARACTER",F,"",F,"",F,"Cupon.BaseDeDatos"
"ITEMVALORESAENT","SerieOrigen","CanjeCuponesEnt","Serie",F,"C",10,0,"CARACTER",F,"",F,"",F,"Cupon.SerieOrigen"
