entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMVALORESCAJA","Tipo","CompCajaDet","Tipo",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMVALORESCAJA","FechaComp","CompCajaDet","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCAJA","Total","CompCajaDet","cTotal",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","RecargoMonto","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","RecargoPorcentaje","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","RecargoMontoSinImpuestos","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","RecargoSinPercepciones","","",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","Caja","COMPCAJADET","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"ITEMVALORESCAJA","Cuotas","","",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","CajaValor","COMPCAJADET","CajaVal",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Caja_pk"
"ITEMVALORESCAJA","NumeroCheque","COMPCAJADET","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMVALORESCAJA","NumeroChequePropio","COMPCAJADET","NroChProp",F,"G",38,0,"CODIGO",F,"CHEQUEPROPIO",F,"",F,""
"ITEMVALORESCAJA","ChequeElectronico","COMPCAJADET","CElectro",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMVALORESCAJA","Numero","CompCajaDet","CodDetVal",F,"C",20,0,"CODIGONUMERICO",T,"",F,"",F,""
"ITEMVALORESCAJA","Valor","CompCajaDet","CodVal",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"ITEMVALORESCAJA","ValorDetalle","CompCajaDet","Descrip",T,"C",30,0,"DESCRIPCION",F,"",T,"",F,"Valor.Descripcion"
"ITEMVALORESCAJA","Fecha","CompCajaDet","Fecha",T,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMVALORESCAJA","NumeroInterno","COMPCAJADET","NroInterno",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"ITEMVALORESCAJA","Monto","CompCajaDet","monto",T,"N",16,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","Cotiza","CompCajaDet","Cotiza",F,"N",16,5,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","MontoAMonedaSistema","COMPCAJADET","Montosiste",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMVALORESCAJA","IdItemComponente","COMPCAJADET","guidComp",F,"C",20,0,"CARACTER",F,"",F,"",F,""
