entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"LISTADOSPERSONALIZADOS","Codigo","LTDSPERS","cCod",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"LISTADOSPERSONALIZADOS","UsaTransporteEntrePaginas","LTDSPERS","transpag",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","RepetirCabecerasDeGrupos","LTDSPERS","repecabgru",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MantenerGruposUnidos","LTDSPERS","mantgruni",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeEncabezadoDeReporte","LTDSPERS","encreporte",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeEncabezadoDePagina","LTDSPERS","encpagina",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeEncabezadoDeDetalle","LTDSPERS","encdetalle",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeInformacionDeContexto","LTDSPERS","infocontex",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeResumenDeReporte","LTDSPERS","resumenrep",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeInformacionDeCorrida","LTDSPERS","infcorrida",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImprimeFechaDeImpresion","LTDSPERS","fechaimpre",F,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"LISTADOSPERSONALIZADOS","ImprimeHoraDeImpresion","LTDSPERS","horaimpre",F,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"LISTADOSPERSONALIZADOS","NumeracionDePaginaSimple","LTDSPERS","pagsimple",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","TitulosDeColumnasDeGrupoEnCP","LTDSPERS","colgrupoCP",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","TitulosDeColumnasDeSubreporteEnCP","LTDSPERS","colsubreCP",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","Anulado","LTDSPERS","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","cListado","LTDSPERS","cListado",T,"C",60,0,"CARACTER",F,"",T,"",F,""
"LISTADOSPERSONALIZADOS","EsDefault","LTDSPERS","EsDefault",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","Estilo","LTDSPERS","cEstilo",T,"C",10,0,"CODIGO",F,"ESTILOIMPRESION",F,"",F,""
"LISTADOSPERSONALIZADOS","MargenDerecho","LTDSPERS","Mder",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MargenIzquierdo","LTDSPERS","mizq",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MargenPie","LTDSPERS","mpie",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MargenCabecera","LTDSPERS","mcab",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","Orientacion","LTDSPERS","Orien",T,"N",1,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","Descripcion","LTDSPERS","descrip",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","TituloListado","LTDSPERS","titulo",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ImagenListado","LTDSPERS","Imagen",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","DestinoTipo","LTDSPERS","dstnotip",T,"N",3,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","DestinoRuta","LTDSPERS","dstnorut",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","DestinoArchivo","LTDSPERS","dstnoarc",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","DestinoFechaHora","LTDSPERS","dstnofh",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","DiferenciarDetalle","LTDSPERS","DDetalle",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","ColorParaElSombreado","LTDSPERS","ColorSombr",T,"N",9,0,"COLOR",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","IdentificadorOrdenamiento","LTDSPERS","Identifica",F,"C",200,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","OrdenadoPor","LTDSPERS","OrdPor",T,"N",12,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","TipoOrdenamiento","LTDSPERS","TipOrd",T,"N",1,0,"NUMERICO",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","BaseDeDatos","LTDSPERS","dbDato",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","BaseDeDatosDetallada","LTDSPERS","dbDatoD",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","SubtotalDetallado","LTDSPERS","subtDetall",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MailPara","LTDSPERS","Mpara",T,"C",250,0,"MAIL",F,"",F,"",F,""
"LISTADOSPERSONALIZADOS","MailAsunto","LTDSPERS","Masunto",T,"C",250,0,"CARACTER",F,"",F,"",F,""
