entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"MERCADERIAENTRANSITO","Codigo","MTRANS","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"MERCADERIAENTRANSITO","FechaOriginal","MTRANS","FECHAORI",F,"D",8,0,"FECHA",F,"",F,"",F,""
"MERCADERIAENTRANSITO","Clase","MTRANS","CLASE",F,"N",1,0,"NUMERICO",F,"",F,"1",T,""
"MERCADERIAENTRANSITO","OrigenDestino","MTRANS","ORIGDEST",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",T,""
"MERCADERIAENTRANSITO","NumeroOriginal","MTRANS","NUMEROORI",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","Tipo","MTRANS","DIRMOV",T,"N",1,0,"COMBOMOVMER",F,"",F,"1",T,""
"MERCADERIAENTRANSITO","Motivo","MTRANS","MOTIVO",F,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"MERCADERIAENTRANSITO","vendedor","MTRANS","VENDEDOR",F,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"MERCADERIAENTRANSITO","Remito","MTRANS","REMITO",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"MERCADERIAENTRANSITO","MovimientoGenerado","MTRANS","MovGen",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","ComprobanteGenerado","MTRANS","CompGen",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"MERCADERIAENTRANSITO","PorcentajeDescuento","MTRANS","FPODES",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","MontoDescuento3","MTRANS","MD3",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","RecargoPorcentaje","MTRANS","RecPor",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","RecargoMonto2","MTRANS","MR2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"MERCADERIAENTRANSITO","Numero","MTRANS","NUMERO",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"MERCADERIAENTRANSITO","Fecha","MTRANS","FECHA",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"MERCADERIAENTRANSITO","OrigTipo","MTRANS","ORIGTIPO",F,"N",2,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"MERCADERIAENTRANSITO","OrigLetra","MTRANS","ORIGLETRA",F,"C",1,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"MERCADERIAENTRANSITO","OrigPtoVta","MTRANS","ORIGPVTA",F,"N",4,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"MERCADERIAENTRANSITO","OrigNumero","MTRANS","ORIGNRO",F,"N",8,0,"COMPROBANTEEDICION",F,"",F,"",F,""
"MERCADERIAENTRANSITO","DatosAdicionales","MTRANS","DatOri",T,"C",120,0,"OBSERVACION4R",F,"",F,"",F,""
"MERCADERIAENTRANSITO","Observacion","MTRANS","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"MERCADERIAENTRANSITO","MovimientoDetalle","DETMTRANS","NUMR",T,"G",38,0,"DETALLEITEMMERCENTRANSITO",F,"",F,"",F,""
