entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"MOVIMIENTODESTOCK","Codigo","MSTOCK","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"MOVIMIENTODESTOCK","FechaOriginal","MSTOCK","FECHAORI",F,"D",8,0,"FECHA",F,"",F,"",F,""
"MOVIMIENTODESTOCK","NumeroOriginal","MSTOCK","NUMEROORI",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"MOVIMIENTODESTOCK","anulado","MSTOCK","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"MOVIMIENTODESTOCK","OrigenDestino","MSTOCK","ORIGDEST",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",T,""
"MOVIMIENTODESTOCK","Tipo","MSTOCK","DIRMOV",T,"N",1,0,"COMBOMOVMER",F,"",F,"1",T,""
"MOVIMIENTODESTOCK","Motivo","MSTOCK","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"MOVIMIENTODESTOCK","vendedor","MSTOCK","VENDEDOR",T,"C",5,0,"CODIGO",F,"VENDEDOR",F,"",F,""
"MOVIMIENTODESTOCK","Remito","MSTOCK","REMITO",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"MOVIMIENTODESTOCK","Numero","MSTOCK","NUMERO",T,"N",8,0,"CLAVECANDIDATA",F,"",F,"",F,""
"MOVIMIENTODESTOCK","Fecha","MSTOCK","FECHA",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.Librerias.ObtenerFecha()",T,""
"MOVIMIENTODESTOCK","Observacion","MSTOCK","MObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"MOVIMIENTODESTOCK","MovimientoDetalle","DETMSTOCK","NUMR",T,"G",38,0,"DETALLEITEMMOVSTOCK",F,"",F,"",F,""
