entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADECREDITOELECTRONICAEXPORTACION","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"NOTADECREDITOELECTRONICAEXPORTACION","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=35",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"NOTADECREDITOELECTRONICAEXPORTACION","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADECREDITOELECTRONICAEXPORTACION","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","impresionsituacionfiscal","","",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","impresionPorcentajedeiva","","",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","Caja","ComprobanteV","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","Cotizacion","ComprobanteV","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"NOTADECREDITOELECTRONICAEXPORTACION","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","CodigoAjuste","COMPROBANTEV","idAjuste",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"NOTADECREDITOELECTRONICAEXPORTACION","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
