entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADEDEBITO","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"NOTADEDEBITO","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITO","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADEDEBITO","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITO","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITO","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=4",F,""
"NOTADEDEBITO","Turno","ComprobanteV","FTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"NOTADEDEBITO","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"NOTADEDEBITO","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"NOTADEDEBITO","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITO","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADEDEBITO","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADEDEBITO","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITO","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"NOTADEDEBITO","Caja","ComprobanteV","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"NOTADEDEBITO","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"NOTADEDEBITO","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","NoCalculaPercepcion","ComprobanteV","noper",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITO","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITO","CodigoMotivoDescuentoEnSubtotal","ComprobanteV","MotDescDev",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"NOTADEDEBITO","CodigoAjuste","COMPROBANTEV","idAjuste",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITO","NroOPEcommerce","ComprobanteV","OPEcomm",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITO","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"NOTADEDEBITO","Email","COMPROBANTEV","Email",T,"C",250,0,"MAIL",F,"",F,"",F,""
"NOTADEDEBITO","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"NOTADEDEBITO","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"NOTADEDEBITO","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"NOTADEDEBITO","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"NOTADEDEBITO","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"NOTADEDEBITO","TipoCpteRelacionado","COMPROBANTEV","TipoCRela",T,"N",2,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"NOTADEDEBITO","LetraCpteRelacionado","COMPROBANTEV","letraRela",T,"C",1,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"NOTADEDEBITO","PuntoDeVentaCpteRelacionado","COMPROBANTEV","puntoRela",T,"N",4,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"NOTADEDEBITO","NumeroCpteRelacionado","COMPROBANTEV","numeroRela",T,"N",8,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"NOTADEDEBITO","FechaCpteRelacionado","COMPROBANTEV","FecCRela",T,"D",8,0,"COMPROBANTERELACIONADO",F,"",F,"",F,""
"NOTADEDEBITO","Vendedor","ComprobanteV","FVEN",T,"C",5,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
