entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADEDEBITOCOMPRA","ComprobanteFiscal","NdCompra","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","FechaModificacion","NdCompra","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","Hora","NdCompra","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","MonedaComprobante","NdCompra","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"NOTADEDEBITOCOMPRA","PuntoDeVenta","NdCompra","FPTOVEN",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","SimboloMonetarioComprobante","NdCompra","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","SubtotalBruto","NdCompra","FSubTOT",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","SubtotalNeto","NdCompra","fSubToN",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","TipoComprobante","NdCompra","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=9",F,""
"NOTADEDEBITOCOMPRA","Turno","NdCompra","FTurno",F,"N",1,0,"TURNO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","signodemovimiento","NdCompra","signomov",F,"N",2,0,"NUMERICO",F,"",F,"-1",T,""
"NOTADEDEBITOCOMPRA","ImpuestosDetalle","ImpNdComp","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOSNDC",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","anulado","NdCompra","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","CondicionIva","NdCompra","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADEDEBITOCOMPRA","CUIT","NdCompra","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"proveedor.cuit"
"NOTADEDEBITOCOMPRA","IdVuelto","NdCompra","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADEDEBITOCOMPRA","DescuentoAutomatico","NdCompra","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","SubTotalConImpuestosSobreItems","NdCompra","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","SubTotalSinImpuestosSobreItems","NdCompra","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","RecargoMontoSinImpuestos","NdCompra","RecMntoSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","RecargoMontoSinImpuestos1","NdCompra","RecMntoSI1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","RecargoMontoSinImpuestos2","NdCompra","RecMntoSI2",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","MontoDescuentoSinImpuestos","NdCompra","DesMntoSI",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOCOMPRA","MontoDescuentoSinImpuestos1","NdCompra","DesMntoSI1",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
