entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NOTADEDEBITOELECTRONICA","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,""
"NOTADEDEBITOELECTRONICA","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=29",F,""
"NOTADEDEBITOELECTRONICA","Turno","ComprobanteV","FTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"NOTADEDEBITOELECTRONICA","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"NOTADEDEBITOELECTRONICA","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"NOTADEDEBITOELECTRONICA","IdVuelto","ComprobanteV","idVuelto",F,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"NOTADEDEBITOELECTRONICA","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Caja","ComprobanteV","IdCaja",F,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"NOTADEDEBITOELECTRONICA","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"NOTADEDEBITOELECTRONICA","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","NoCalculaPercepcion","ComprobanteV","noper",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","CodigoMotivoDescuentoEnSubtotal","ComprobanteV","MotDescDev",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"NOTADEDEBITOELECTRONICA","CodigoAjuste","COMPROBANTEV","idAjuste",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","NroOPEcommerce","ComprobanteV","OPEcomm",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"NOTADEDEBITOELECTRONICA","Email","COMPROBANTEV","Email",T,"C",250,0,"MAIL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"NOTADEDEBITOELECTRONICA","Contingencia","ComprobanteV","Contingenc",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","SerieDGICpteRelacionado","ComprobanteV","SerieRela",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","NumeroDGICpteRelacionado","ComprobanteV","NroDGIRela",F,"N",7,0,"NUMERICO",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","ContingenciaCpteRelacionado","ComprobanteV","ContinRela",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"NOTADEDEBITOELECTRONICA","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
"NOTADEDEBITOELECTRONICA","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROPTOVTAEDITABLE",F,"",F,"",F,""
