entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"NUEVOENBASEA","Codigo","Enbasea","cCod",F,"C",1,0,"CODIGO",T,"",F,"",F,""
"NUEVOENBASEA","Descripcion","","",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"NUEVOENBASEA","Observacion","","",F,"C",10,0,"OBSERVACION1R",F,"",F,"",F,""
"NUEVOENBASEA","Entidad","","",T,"C",38,0,"COMBO",F,"",F,"",F,""
"NUEVOENBASEA","Operatoria","","",T,"N",1,0,"COMBO",F,"",F,"",F,""
"NUEVOENBASEA","Filtro","","",T,"C",20,0,"COMBO",F,"",F,"",F,""
"NUEVOENBASEA","TipoComprobante","","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"NUEVOENBASEA","Diferencia","","dife",T,"C",40,0,"COMBO",F,"",F,"",F,""
"NUEVOENBASEA","MercaderiaConsignacion","","",T,"L",1,0,"SINOBOOL",F,"",F,"F",F,""
"NUEVOENBASEA","ClienteConsignacion","","",T,"C",5,0,"CODIGO",F,"CLIENTE",F,"",T,""
"NUEVOENBASEA","BDConsignacion","","",T,"C",11,0,"COMBOSUCURSALESCONSIGNACION",F,"",F,"",F,""
"NUEVOENBASEA","fecha_Consignacion_Desde","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"NUEVOENBASEA","fecha_Consignacion_Hasta","","",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"NUEVOENBASEA","BolsasyCajas","Enbasea","BolyCaj",T,"G",38,0,"CODIGO",F,"BOLSASYCAJAS",F,"",F,""
"NUEVOENBASEA","DetalleComprobantes","detenbasea","Codigo",T,"G",38,0,"DETALLEITEMCOMPROBANTESENBASEA",F,"",F,"",F,""
"NUEVOENBASEA","cliente_Desde","","",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"NUEVOENBASEA","cliente_Hasta","","",T,"C",5,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
