entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PAGO","OrdenDePago","Pago","OPago",T,"G",38,0,"CODIGOSINALTASEGUNPARAMETRO",F,"ORDENDEPAGO",F,"",T,""
"PAGO","TipoComprobante","Pago","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=37",F,""
"PAGO","OrdenDePago_Proveedor","Pago","FPerson",T,"C",5,0,"CODIGO",F,"PROVEEDOR",F,"",F,"OrdendePago.Proveedor"
"PAGO","OrdenDePago_MonedaComprobante","Pago","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"OrdendePago.MonedaComprobante"
"PAGO","OrdenDePago_Fecha","Pago","FFCH",T,"D",8,0,"FECHA",F,"",F,"",F,"OrdendePago.Fecha"
"PAGO","Anulado","Pago","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PAGO","Letra","Pago","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",T,""
"PAGO","PuntoDeVenta","Pago","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"goServicios.Parametros.felino.Numeraciones.BocaDeExpendio",T,""
"PAGO","Numero","Pago","FNUMCOMP",T,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",T,""
"PAGO","Fecha","Pago","FechaP",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"PAGO","OrdenDePago_Cotizacion","Pago","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",F,"OrdendePago.Cotizacion"
"PAGO","Recibo","Pago","Recibo",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"PAGO","Codigo","Pago","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"PAGO","OrdenDePago_PagoDetalle","PagoDet","CODIGO",T,"G",38,0,"DETALLEITEMPAGO",F,"",F,"",F,""
"PAGO","OrdenDePago_ValoresDetalle","PagoVal","JJNUM",T,"G",38,0,"DETALLEITEMPAGOVALORES",F,"",F,"",F,""
"PAGO","OrdenDePago_Obs","Pago","FOPObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,"OrdendePago.Obs"
"PAGO","OrdenDePago_ImpuestosComprobante","PagoImp","Codigo",T,"G",38,0,"DETALLEITEMIMPUESTOPAGO",F,"",F,"",F,""
"PAGO","OrdenDePago_Total","Pago","FTotal",T,"N",15,2,"TOTALMULTIMONEDA",F,"",F,"",F,"OrdendePago.Total"
"PAGO","Obs","PAgo","FOBS",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
