entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PLANDECUENTAS","Codigo","plancuenta","ctacodigo",T,"C",30,0,"CODIGOSOLONUMEROS",T,"",F,"",T,""
"PLANDECUENTAS","Mayor","plancuenta","ctamayor",T,"C",30,0,"CODIGOSOLONUMEROS",F,"PLANDECUENTAS",F,"",F,""
"PLANDECUENTAS","Cuenta","plancuenta","ctanumero",T,"C",30,0,"CARACTERSOLONUMEROS",F,"",F,"",T,""
"PLANDECUENTAS","Descripcion","plancuenta","descrip",T,"C",100,0,"CARACTER",F,"",T,"",F,""
"PLANDECUENTAS","Apodo","plancuenta","apodo",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"PLANDECUENTAS","EsImputable","plancuenta","ctaimput",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PLANDECUENTAS","Tipo","plancuenta","ctatipo",T,"N",1,0,"COMBOXML",F,"",F,"",T,""
"PLANDECUENTAS","DeRefundicion","plancuenta","Derefund",T,"N",1,0,"COMBOXML",F,"",F,"1",F,""
"PLANDECUENTAS","RequiereCDC","plancuenta","reqccosto",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PLANDECUENTAS","EsDeRefundicion","plancuenta","ctarefund",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PLANDECUENTAS","AjustaPorInflacion","plancuenta","AjustaInf",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PLANDECUENTAS","CuentaAjustePorInflacion","plancuenta","CAjuste",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",F,""
"PLANDECUENTAS","IndicesInflacion","plancuenta","IndiceAju",T,"C",10,0,"CARACTER",F,"",F,"",F,""
"PLANDECUENTAS","ListaDeCuentas","","",T,"C",10,0,"COMBO",F,"",F,"",F,""
"PLANDECUENTAS","Obs","plancuenta","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
