entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PREPARACIONDEMERCADERIA","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","MonedaComprobante","ComprobanteV","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"PREPARACIONDEMERCADERIA","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=57",F,""
"PREPARACIONDEMERCADERIA","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"PREPARACIONDEMERCADERIA","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"PREPARACIONDEMERCADERIA","Turno","ComprobanteV","fTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"PREPARACIONDEMERCADERIA","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PREPARACIONDEMERCADERIA","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
