entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PRESUPUESTO","Cliente","ComprobanteV","FPerson",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"PRESUPUESTO","ComprobanteFiscal","ComprobanteV","FCOMPFIS",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PRESUPUESTO","FechaModificacion","ComprobanteV","FD2",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PRESUPUESTO","Hora","ComprobanteV","FHORA",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"PRESUPUESTO","SimboloMonetarioComprobante","ComprobanteV","SimbMon",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"PRESUPUESTO","SubtotalBruto","ComprobanteV","FSubTOT",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","SubtotalNeto","ComprobanteV","fSubToN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TipoComprobante","ComprobanteV","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=25",F,""
"PRESUPUESTO","signodemovimiento","ComprobanteV","signomov",F,"N",2,0,"NUMERICO",F,"",F,"1",T,""
"PRESUPUESTO","ImpuestosDetalle","ImpuestosV","Codigo",F,"G",38,0,"DETALLEITEMIMPUESTOS",F,"",F,"",F,""
"PRESUPUESTO","anulado","ComprobanteV","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PRESUPUESTO","CondicionIva","ComprobanteV","CondivaLp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"ListaDePrecios.CondicionIva"
"PRESUPUESTO","Turno","ComprobanteV","fTurno",F,"N",1,0,"TURNO",F,"",F,"@ObtenerTurno()",F,""
"PRESUPUESTO","DescuentoAutomatico","ComprobanteV","DesAuto",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PRESUPUESTO","SubTotalConImpuestosSobreItems","ComprobanteV","SubTotCISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","SubTotalSinImpuestosSobreItems","ComprobanteV","SubTotSISI",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoSinImpuestos","ComprobanteV","RecMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoSinImpuestos1","ComprobanteV","RecMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoSinImpuestos2","ComprobanteV","RecMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoSinImpuestos","ComprobanteV","DesMntoSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoSinImpuestos1","ComprobanteV","DesMntoSI1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoSinImpuestos2","ComprobanteV","DesMntoSI2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoSinImpuestos3","ComprobanteV","DesMntoSI3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","ImpuestosComprobante","impVentas","cCod",F,"G",38,0,"DETALLEITEMIMPUESTOVENTAS",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoConImpuestos","ComprobanteV","MDCIMPU",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MonedaSistema","ComprobanteV","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"PRESUPUESTO","TotalCantidad","ComprobanteV","TotalCant",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Secuencia","COMPROBANTEV","FACTSEC",F,"C",2,0,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","ClienteDescripcion","ComprobanteV","FCLIENTE",T,"C",30,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"PRESUPUESTO","MonedaComprobante","ComprobanteV","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"PRESUPUESTO","Cotizacion","ComprobanteV","Cotiz",T,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"PRESUPUESTO","IvaDelSistema","ComprobanteV","IvaSis",F,"N",10,2,"NUMERICO",F,"",F,"goparametros.felino.datoSIMPOSITIVOS.ivaINSCRIPTOS",F,""
"PRESUPUESTO","Letra","ComprobanteV","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PRESUPUESTO","Codigo","ComprobanteV","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"PRESUPUESTO","PuntoDeVenta","ComprobanteV","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PRESUPUESTO","Numero","ComprobanteV","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"PRESUPUESTO","MercaderiaConsignacion","comprobanteV","MerConsign",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PRESUPUESTO","Vendedor","ComprobanteV","FVEN",T,"C",5,0,"CODIGOVENDEDOR",F,"VENDEDOR",F,"",F,""
"PRESUPUESTO","ListaDePrecios","ComprobanteV","CodLista",T,"C",6,0,"CODIGO",F,"LISTADEPRECIOS",F,"=goParametros.Felino.Precios.ListasDePrecios.ListaDePreciosPreferente",T,""
"PRESUPUESTO","ForPago","ComprobanteV","FPago",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"PRESUPUESTO","Motivo","ComprobanteV","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",F,""
"PRESUPUESTO","Transportista","ComprobanteV","FTransp",T,"C",6,0,"CODIGO",F,"TRANSPORTISTA",F,"",F,""
"PRESUPUESTO","Fecha","ComprobanteV","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",T,""
"PRESUPUESTO","SituacionFiscal","ComprobanteV","SitFiscCli",F,"N",2,0,"NUMERICO",F,"SITUACIONFISCAL",F,"=3",F,""
"PRESUPUESTO","CUIT","ComprobanteV","fCuit",F,"C",15,0,"CUIT",F,"",F,"",F,"Cliente.cuit"
"PRESUPUESTO","FechaVencimiento","ComprobanteV","FFCHVen",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.Librerias.ObtenerFecha()",F,""
"PRESUPUESTO","FacturaDetalle","ComprobanteVDet","CODIGO",T,"G",38,0,"DETALLEITEMARTICULOSVENTAS",F,"",F,"",F,""
"PRESUPUESTO","KitsDetalle","KITDET","CODIGO",T,"G",38,0,"DETALLEITEMKITS",F,"",F,"",F,""
"PRESUPUESTO","AjustesPorRedondeos","ComprobanteV","FAjXRe",T,"N",8,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","PorcentajeDescuento","ComprobanteV","FPODES",T,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","Descuento","ComprobanteV","fDescu",T,"N",8,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","Impuestos","ComprobanteV","fImpuesto",T,"N",8,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","PorcentajeDescuento1","ComprobanteV","FPODES1",F,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoConImpuestos1","ComprobanteV","FMTDES1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuento1","ComprobanteV","MD1",F,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","PorcentajeDescuento2","ComprobanteV","FPODES2",F,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoConImpuestos2","ComprobanteV","FMTDES2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuento2","ComprobanteV","MD2",F,"N",17,4,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuentoConImpuestos3","ComprobanteV","FMTDES3",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","MontoDescuento3","ComprobanteV","MD3",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoPorcentaje","ComprobanteV","RecPor",F,"N",6,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoConImpuestos","ComprobanteV","RecMnto",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMonto","ComprobanteV","MR",F,"N",15,2,"DESCUENTO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMonto1Visual","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Subtotalsinimp","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Subtotalconimp","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoConImpuestos1","ComprobanteV","RecMnto1",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMonto1","ComprobanteV","MR1",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMontoConImpuestos2","ComprobanteV","RecMnto2",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","RecargoMonto2","ComprobanteV","MR2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Percepciones","ComprobanteV","percepcion",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Gravamenes","ComprobanteV","gravamen",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalDescuentosSinImpuestos","ComprobanteV","totdescSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalDescuentosConImpuestos","ComprobanteV","TDCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalImpuestos","ComprobanteV","totimpue",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalRecargos","ComprobanteV","totrecar",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalRecargosSinImpuestos","ComprobanteV","totrecarSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalRecargosConImpuestos","ComprobanteV","TRCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","TotalDescuentos","ComprobanteV","totdesc",F,"N",8,2,"NUMERICO",F,"",F,"",F,""
"PRESUPUESTO","Obs","ComprobanteV","FObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"PRESUPUESTO","Total","ComprobanteV","FTotal",T,"N",16,2,"TOTALMULTIMONEDA",F,"",F,"",F,""
