entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"PROVEEDOR","Codigo","PROVEED","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",F,""
"PROVEEDOR","Nombre","PROVEED","CLNOM",T,"C",60,0,"TEXTOBUSQUEDA",F,"",T,"",F,""
"PROVEEDOR","TipoInterno2","PROVEED","CLCFI",F,"N",1,0,"SINOGENERICO",F,"",F,"1",F,""
"PROVEEDOR","Observacion","PROVEED","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"PROVEEDOR","TipoInterno","PROVEED","CLTPO",F,"N",1,0,"COMBO",F,"",F,"3",F,""
"PROVEEDOR","Direccion","PROVEED","CLDIR",T,"C",70,0,"TEXTO",F,"",F,"",F,""
"PROVEEDOR","Localidad","PROVEED","CLLOC",T,"C",70,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","CodigoPostal","PROVEED","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","Provincia","PROVEED","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"PROVEEDOR","Telefono","PROVEED","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","Fax","PROVEED","CLFAX",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","EMail","PROVEED","CLEMAIL",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","PaginaWeb","PROVEED","CLPAGEWEB",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","Contacto","PROVEED","CLCONTAC",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","Imagen","PROVEED","CIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"PROVEEDOR","Clasificacion","PROVEED","CLIMPD",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"PROVEEDOR","TipoDocumento","PROVEED","CLTIPODOC",T,"C",2,0,"DOCUMENTO",F,"",F,"",F,""
"PROVEEDOR","NroDocumento","PROVEED","CLNRODOC",T,"C",10,0,"DOCUMENTO",F,"",F,"",F,""
"PROVEEDOR","CondicionDePago","PROVEED","CLCONDPAG",T,"C",5,0,"CODIGO",F,"CONDICIONDEPAGO",F,"",F,""
"PROVEEDOR","ListaDePrecio","PROVEED","CLLISTPRE",T,"C",6,0,"CODIGO",F,"Listadeprecios",F,"",F,""
"PROVEEDOR","sobreprecio1","PROVEED","CLMONTO",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"PROVEEDOR","Formula1","PROVEED","CLCAN4",F,"N",1,0,"FORMULA",F,"",F,"",F,""
"PROVEEDOR","sobreprecio2","PROVEED","CLMON1",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"PROVEEDOR","Formula2","PROVEED","CLPUN1",F,"N",1,0,"FORMULA",F,"",F,"",F,""
"PROVEEDOR","sobreprecio3","PROVEED","CLMON2",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"PROVEEDOR","Formula3","PROVEED","CLPUN2",F,"N",1,0,"FORMULA",F,"",F,"",F,""
"PROVEEDOR","sobreprecio4","PROVEED","CLMON3",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"PROVEEDOR","Formula4","PROVEED","CLPUN3",F,"N",1,0,"FORMULA",F,"",F,"",F,""
"PROVEEDOR","sobreprecio5","PROVEED","CLMON4",F,"N",16,2,"NUMERICO",F,"",F,"",F,""
"PROVEEDOR","Formula5","PROVEED","CLPUN4",F,"N",1,0,"FORMULA",F,"",F,"",F,""
"PROVEEDOR","FechaDeAlta","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PROVEEDOR","FechaUltimaModificacion","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"PROVEEDOR","SituacionFiscal","PROVEED","CLIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"1",F,""
"PROVEEDOR","SitFiscalUruguay","","",T,"N",2,0,"COMBOXML",F,"",F,"2",F,""
"PROVEEDOR","Cuit","PROVEED","CLCUIT",T,"C",15,0,"CUITBUSQUEDA",F,"",F,"",F,""
"PROVEEDOR","RUT","PROVEED","RUT",T,"C",12,0,"RUT",F,"",F,"",F,""
"PROVEEDOR","Empleador","PROVEED","CLEMPLEAD",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PROVEEDOR","SujetoVinculado","PROVEED","ClSujVinc",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"PROVEEDOR","TipoConvenio","PROVEED","CLTIPCONV",T,"N",1,0,"CONVENIOCONNUMEROPROV",F,"",F,"",F,""
"PROVEEDOR","NroIIBB","PROVEED","CLNROIIBB",T,"N",11,0,"CONVENIOCONNUMEROPROV",F,"",F,"",F,""
"PROVEEDOR","TasaCeroPorcen","PROVEED","PorcenTC",T,"N",6,2,"NumericoCheck",F,"",F,"",F,""
"PROVEEDOR","TasaCeroAplica","PROVEED","AplicaTC",T,"L",1,0,"NumericoCheck",F,"",F,"",F,""
"PROVEEDOR","Retenciones","RetProDet","Cod",T,"C",5,0,"DETALLEITEMRETENCIONES",F,"",F,"",F,""
"PROVEEDOR","CodigoSiprib","PROVEED","CLSIPRIB",T,"C",20,0,"CODIGO",F,"DATOSADICIONALESSIPRIB",F,"",F,""
"PROVEEDOR","SituacionGanancias","PROVEED","CLSITGAN",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"PROVEEDOR","RetencionGanancias","PROVEED","CLRETGAN",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",F,""
"PROVEEDOR","ExcluidoRetencionGanancias","PROVEED","EXRETGAN",T,"L",1,0,"CheckConFecha",F,"",F,"",F,""
"PROVEEDOR","VigenciaHastaGan","PROVEED","PVHastaGan",T,"D",8,0,"CheckConFecha",F,"",F,"",F,""
"PROVEEDOR","ObjetoIva","PROVEED","CLOBJIVA",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"PROVEEDOR","RetencionIva","PROVEED","CLRETIVA",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",F,""
"PROVEEDOR","ExcluidoRetencionIVA","PROVEED","EXRETIVA",T,"L",1,0,"CheckConFecha",F,"",F,"",F,""
"PROVEEDOR","VigenciaHastaIva","PROVEED","PVHastaIva",T,"D",8,0,"CheckConFecha",F,"",F,"",F,""
"PROVEEDOR","RetencionSuss","PROVEED","CLRETSUSS",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",F,""
"PROVEEDOR","ExcluidoRetencionSUSS","PROVEED","EXRETSUSS",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
